target_slug,target,kind,crop_slug,crop,product_slug,product,klass,reg_no,reg_until,norm_raw,dose_per_10l,method,wait_days,max_treatments,hazard_bees,page
alternarioz,альтернариоз,болезнь,kartofel,картофель,ralli,Ралли,фунгицид,021-02-9607-0,30.09.2028,3-5 мл/ 3 лводы,"10–16,7 мл","Опрыскивание в период вегетации: первое – при появлении первых признаков болезни, последующее при необходимости через 7-12 дней.",14,2,III,388
alternarioz,альтернариоз,болезнь,kartofel,картофель,raek,Раёк,фунгицид,021-02-2611-1,18.03.2030,4 мл/5 лводы,8 мл,"Опрыскивание в период вегетации: первое – профилактическое, последующее – через 10-15 дней",28,2,III,397
alternarioz,альтернариоз,болезнь,kartofel,картофель,sanitar,Санитар,фунгицид,126-02-3620-1,12.04.2032,6 г/10 л воды,6 г,"Опрыскивание в период вегетации: первое – профилактическое, последующие с интервалом 8-12 дней",15,4,III,661
alternarioz,альтернариоз,болезнь,kartofel,картофель,sinkler,Синклер,фунгицид,021-02-2593-1,23.05.2024,20 мл/ 1 лводы,200 мл,Обработка клубней семенного картофеля перед закладкой на хранение с последующим подсушиванием,,1,-,631
alternarioz,альтернариоз,болезнь,kartofel,картофель,stakkato,Стаккато,фунгицид,018-02-10081-1,17.08.2036,30 мл/1-3 лводы,,Обработка дна борозды.,,1,III,296
alternarioz,альтернариоз,болезнь,kartofel,картофель,stakkato,Стаккато,фунгицид,018-02-10081-1,17.08.2036,50 мл/2-4 лводы,,Опрыскивание в период вегетации с интервалом 10-14 дней.,,4,III,296
alternarioz,альтернариоз,болезнь,kartofel,картофель,stakkato,Стаккато,фунгицид,018-02-10081-1,17.08.2036,30 мл/30 мл воды,,Обработка при закладке на хранение.,,1,III,297
alternarioz,альтернариоз,болезнь,kartofel,картофель,tanos-ka,Танос КА,фунгицид,866-02-4725-0,25.11.2027,6 г/10 л воды,6 г,"Опрыскивание в период вегетации в фазы: начало смыкания рядков, бутонизация, конец цветения, рост ягод и клубней.",15,4,III,620
alternarioz,альтернариоз,болезнь,kartofel,картофель,famoks,Фамокс,фунгицид,097-02-2528-1,30.01.2030,6 г/10 л воды,6 г,Опрыскивание в период вегетации,15,4,III,618
alternarioz,альтернариоз,болезнь,kartofel,картофель,fitobakterin,Фитобактерин+,фунгицид,033-02-3523-1,13.03.2032,20 г/20 л,10 г,Опрыскивание в период вегетации с интервалом 5-10 дней,5,2,III,307
alternarioz,альтернариоз,болезнь,kartofel,картофель,fitosporin-as,Фитоспорин-АС,фунгицид,585-02-3649-1,21.04.2032,40 мл/10 лводы,40 мл,Опрыскивание в период вегетации: первое – профилактическое в фазах смыкание рядков -бутонизация; повторно – с интервалом 10-15 дней,,3,III,335
alternarioz,альтернариоз,болезнь,kartofel,картофель,fitosporin-m,Фитоспорин-М,фунгицид,016-02-2491-1,04.11.2029,40-50 мл/5 лводы,80–100 мл,"Опрыскивание в период вегетации: первое -профилактическое в фазы смыкание рядков – бутонизация, последующее -с интервалом 10-15 дней",,2,III,314
alternarioz,альтернариоз,болезнь,kartofel,картофель,fitosporin-m,Фитоспорин-М,фунгицид,016-02-2489-1,04.12.2029,2 г/5 л воды,4 г,"Опрыскивание в период вегетации: профилактическое в фазах смыкание рядков – бутонизация, повторно – с интервалом 10-15 дней",,2,III,318
alternarioz,альтернариоз,болезнь,kartofel,картофель,hom,Хом,фунгицид,046-02-5033-1,29.03.2028,40 г/10 лводы,40 г,"Опрыскивание растений в период вегетации 0,4 %-м рабочим раствором с интервалом 7-10 дней.",28,5,III,472
alternarioz,альтернариоз,болезнь,kartofel,картофель,tselitel,Целитель,фунгицид,175-02-1534-1,27.07.2027,6 г/10 л воды,6 г,"Опрыскивание в период вегетации в фазы: начало смыкания рядков, второе – бутонизация, третье – в конце цветения, четвертое – рост ягод и клубней.",15,4,III,661
alternarioz,альтернариоз,болезнь,luk,лук,kleymor,Клеймор,фунгицид,021-02-3060-1,26.12.2025,10-12 мл/ 3лводы,"33,3–40 мл","Опрыскивание в период вегетации: первое опрыскивание -профилактическое, последующие - с интервалом 7-10 дней",7,3,III,628
alternarioz,альтернариоз,болезнь,luk,лук,ralli,Ралли,фунгицид,021-02-9607-0,30.09.2028,13-20 мл/3 лводы,"43,3–66,7 мл","Опрыскивание в период вегетации: первое-профилактическое, последующее через 7-12 дней.",14,2,III,388
alternarioz,альтернариоз,болезнь,luk,лук,stakkato,Стаккато,фунгицид,018-02-10081-1,17.08.2036,50 мл/2-4 лводы,,Опрыскивание в период вегетации с интервалом 10-14 дней.,,4,III,297
alternarioz,альтернариоз,болезнь,morkov,морковь,ralli,Ралли,фунгицид,021-02-9607-0,30.09.2028,10-12 мл/3 лводы,"33,3–40 мл","Опрыскивание в период вегетации: первое – при появлении первых признаков болезни, последующее при необходимости через 7-12 дней.",21,2,III,388
alternarioz,альтернариоз,болезнь,morkov,морковь,stakkato,Стаккато,фунгицид,018-02-10081-1,17.08.2036,30 мл/30 мл воды,,Обработка при закладке на хранение.,,1,III,297
alternarioz,альтернариоз,болезнь,morkov,морковь,shrilank,Шриланк,фунгицид,021-02-4134-1,20.06.2033,"5,0-7,0 мл/3 лводы","16,7–23,3 мл","Опрыскивание в период вегетации: первое – профилактическое или при появлении первых признаков болезни, последующее через 10-14 дней",12,2,III,462
alternarioz,альтернариоз,болезнь,tomat,томат,abiga-pik,Абига-Пик,фунгицид,407-02-1316-1,25.12.2026,50 г/10 лводы,50 г,Опрыскивание в период вегетации,20,4,III,654
alternarioz,альтернариоз,болезнь,tomat,томат,alirin-b,Алирин-Б,фунгицид,139-02-2348-1,14.08.2029,1-2 таб./10 л,1–2 таб,"Полив грунта за 1-3 суток до посева семян, перед высадкой рассады, затем через 7-10 дней",,3,III,326
alternarioz,альтернариоз,болезнь,tomat,томат,alirin-b,Алирин-Б,фунгицид,139-02-2348-1,14.08.2029,5-10 таб./10 л,5–10 таб,"Опрыскивание растений в фазы начала бутонизации, начала цветения, плодообразование с интервалом 10-14 дней",,3,III,326
alternarioz,альтернариоз,болезнь,tomat,томат,gamair,Гамаир,фунгицид,139-02-2349-1,14.08.2029,1-2 таб./10 л,1–2 таб,Полив грунта за 1-3 суток до посева семян,,1,III,331
alternarioz,альтернариоз,болезнь,tomat,томат,gamair,Гамаир,фунгицид,139-02-2349-1,14.08.2029,5-10 таб./10 л,5–10 таб,"Опрыскивание растений в период вегетации при появлении первых симптомов одного из заболеваний, затем с интервалом 10-14 дней",,3,III,331
alternarioz,альтернариоз,болезнь,tomat,томат,indigo,Индиго,фунгицид,018-02-2300-1,30.06.2029,50 мл/4 лводы,125 мл,"Опрыскивание в период вегетации: первое профилактическое, последующие с интервалом 7-10 дней",21,3,III,470
alternarioz,альтернариоз,болезнь,tomat,томат,konsento-top,Консенто Топ,фунгицид,561-02-4379-1,23.01.2034,20 мл/5 лводы,40 мл,"Опрыскивание в период вегетации: первое -профилактическое, последующие - с интервалом 7-10 дней",21,4,III,502
alternarioz,альтернариоз,болезнь,tomat,томат,ordan,Ордан,фунгицид,021-02-2610-1,18.03.2030,25 г/5 л воды,50 г,"Опрыскивание в период вегетации: первое – профилактическое в стадии 4-6 настоящих листьев или не позднее двух суток после инфицирования растений, последующие с интервалом 7-10 дней",5,3,III,474
alternarioz,альтернариоз,болезнь,tomat,томат,ordan,Ордан,фунгицид,021-02-2610-1,18.03.2030,25 г/8 л воды,"31,2 г","Опрыскивание в период вегетации: первое – профилактическое в стадии 4-6 настоящих листьев или не позднее двух суток после инфицирования растений, последующие с интервалом 7-10 дней",3,3,III,474
alternarioz,альтернариоз,болезнь,tomat,томат,ralli,Ралли,фунгицид,021-02-9607-0,30.09.2028,15-20 мл/3 лводы,"50–66,7 мл","Опрыскивание в период вегетации: первое – при появлении первых признаков болезни, последующее при необходимости через 7-12 дней.",21,2,III,389
alternarioz,альтернариоз,болезнь,tomat,томат,raek,Раёк,фунгицид,021-02-2611-1,18.03.2030,4 мл/5 лводы,8 мл,"Опрыскивание в период вегетации: первое – профилактическое, последующее – через 10-15 дней",28,2,III,397
alternarioz,альтернариоз,болезнь,tomat,томат,sanitar,Санитар,фунгицид,126-02-3620-1,12.04.2032,6 г/10 л воды,6 г,"Опрыскивание в период вегетации: первое – профилактическое, последующие с интервалом 8-12 дней",14,4,III,661
alternarioz,альтернариоз,болезнь,tomat,томат,stakkato,Стаккато,фунгицид,018-02-10081-1,17.08.2036,50 мл/2-4 лводы,,Опрыскивание в период вегетации с интервалом 10-14 дней.,,4,III,296
alternarioz,альтернариоз,болезнь,tomat,томат,tanos-ka,Танос КА,фунгицид,866-02-4725-0,25.11.2027,6 г/10 л воды,6 г,"Опрыскивание в период вегетации: первое – профилактическое, последующие – с интервалом 8-12 дней.",14,4,III,620
alternarioz,альтернариоз,болезнь,tomat,томат,trihodermaveride-471,ТриходермаВериде 471,фунгицид,008-02-1364-1,01.02.2027,30 г/10 лводы,30 г,Опрыскивание в период бутонизация - плодоношение,,1,III,354
alternarioz,альтернариоз,болезнь,tomat,томат,trihodermaveride-471,ТриходермаВериде 471,фунгицид,008-02-1364-1,01.02.2027,30 г/10 лводы,30 г,Опрыскивание в период бутонизация – плодоношение,,1,III,355
alternarioz,альтернариоз,болезнь,tomat,томат,famoks,Фамокс,фунгицид,097-02-2528-1,30.01.2030,6 г/10 л воды,6 г,"Опрыскивание в период вегетации: первое – профилактическое, последующие – с интервалом 8-12 дней",14,4,III,618
alternarioz,альтернариоз,болезнь,tomat,томат,fitosporin-as,Фитоспорин-АС,фунгицид,585-02-3649-1,21.04.2032,30 мл/10 лводы,30 мл,"Опрыскивание в период вегетации: первое -профилактическое, последующие - с интервалом 10-15 дней",,4,III,336
alternarioz,альтернариоз,болезнь,tomat,томат,fitosporin-m,Фитоспорин-М,фунгицид,016-02-2491-1,04.11.2029,10 мл/5 лводы,20 мл,"Опрыскивание растений в период вегетации: первое профилактическое, последующее – с интервалом 10-15 дней",,2,III,314
alternarioz,альтернариоз,болезнь,tomat,томат,fitosporin-m,Фитоспорин-М,фунгицид,016-02-2491-1,04.11.2029,10 мл/10-15 лводы,,"Опрыскивание растений в период вегетации: первое -профилактическое, последующие – с интервалом 10-15 дней",,2,III,315
alternarioz,альтернариоз,болезнь,tomat,томат,fitosporin-m,Фитоспорин-М,фунгицид,016-02-2490-1,04.12.2029,5 г/5 л воды,10 г,"Опрыскивание в период вегетации: первое – профилактическое, последующее – с интервалом 10-15 дней",,2,III,317
alternarioz,альтернариоз,болезнь,tomat,томат,fitosporin-m,Фитоспорин-М,фунгицид,016-02-2490-1,04.12.2029,5 г/10-15 лводы,,"Опрыскивание в период вегетации: первое – профилактическое, последующее – с интервалом 10-15 дней",,2,III,317
alternarioz,альтернариоз,болезнь,tomat,томат,fitosporin-m,Фитоспорин-М,фунгицид,016-02-2489-1,04.12.2029,2 г/10-15 лводы,,"Опрыскивание в период вегетации: первое профилактическое, последующие – с интервалом 10-15 дней",,2,III,319
alternarioz,альтернариоз,болезнь,tomat,томат,hom,Хом,фунгицид,046-02-5033-1,29.03.2028,40 г/10 лводы,40 г,"Опрыскивание растений в период вегетации 0,4 %-м рабочим раствором с интервалом 7-10 дней.",5,4,III,472
alternarioz,альтернариоз,болезнь,tomat,томат,tselitel,Целитель,фунгицид,175-02-1534-1,27.07.2027,6 г/10 л воды,6 г,"Опрыскивание: в период вегетации: первое – профилактическое, последующие – с интервалом 8-12 дней",14,4,III,661
alternarioz,альтернариоз,болезнь,tomat,томат,shrilank,Шриланк,фунгицид,021-02-4134-1,20.06.2033,"5,0-7,0 мл/3 лводы","16,7–23,3 мл","Опрыскивание в период вегетации: первое – профилактическое или при появлении первых признаков болезни, последующее через 10-14 дней",21,2,III,462
alternarioz,альтернариоз,болезнь,tsvety,цветы (общее),sinkler,Синклер,фунгицид,021-02-2593-1,23.05.2024,1 мл/1 л воды,10 мл,"Обработка посадочного материала путём погружения в 0,1 % рабочий раствор с экспозицией 30 минут и последующим просушиванием",,1,-,631
alternarioz,альтернариоз,болезнь,chesnok,чеснок,stakkato,Стаккато,фунгицид,018-02-10081-1,17.08.2036,50 мл/2-4 лводы,,Опрыскивание в период вегетации с интервалом 10-14 дней.,,4,III,297
alternarioz,альтернариоз,болезнь,yablonya,яблоня,diskor,Дискор,фунгицид,002-02-3369-1,15.11.2031,"3-3,5 мл/10лводы","3–3,5 мл",Опрыскивание в период вегетации до и после цветения в фазы: «розовый бутон» и опадение лепестков с интервалом между обработками не более 15 дней,28,2,III,396
alternarioz,альтернариоз,болезнь,yablonya,яблоня,diskor,Дискор,фунгицид,002-02-3369-1,15.11.2031,"3-3,5 мл/10лводы","3–3,5 мл",Опрыскивание в период вегетации до и после цветения в фазы: «розовый бутон» и опадение лепестков с интервалом между обработками не более 15 дней (в зависимости от возраста и сорта),28,2,III,396
alternarioz,альтернариоз,болезнь,yablonya,яблоня,plantenol-neo,Плантенол Нео,фунгицид,021-02-4358-1,11.01.2034,3 г/ 10 лводы,3 г,Опрыскивание в период вегетации в фазы: «зеленый конус» - конец цветения с интервалом 7-10 дней (в зависимости от возраста и объема кроны),60,2,III,662
alternarioz,альтернариоз,болезнь,yablonya,яблоня,rangoli-kursor,Ранголи-Курсор,фунгицид,134-02-1406-1,09.03.2027,"3-3,5 мл/10 лводы","3–3,5 мл",Опрыскивание в период вегетации до и после цветения с интервалом не более 14 дней,28,2,III,400
alternarioz,альтернариоз,болезнь,yablonya,яблоня,skor,Скор,фунгицид,041-02-4371-0,22.01.2027,"3-3,5 мл/10 лводы","3–3,5 мл",Опрыскивание в период вегетации до и после цветения с интервалом не более 14 дней,20,2,III,394
alternarioz,альтернариоз,болезнь,yablonya,яблоня,skoryy,Скорый,фунгицид,126-02-3456-1,27.12.2031,"3,5 мл/10 лводы","3,5 мл",Опрыскивание в период вегетации до и после цветения с интервалом не более 14 дней,20,3,III,398
alternarioz,альтернариоз,болезнь,yablonya,яблоня,horton,Хортон,фунгицид,008-02-3302-1,16.09.2031,6 мл/10 лводы,6 мл,Опрыскивание в период вегетации в фазы: «зеленый конус» - конец цветения с интервалом 7-10 дней,28,2,III,663
alternarioz,альтернариоз,болезнь,yablonya,яблоня,horton,Хортон,фунгицид,008-02-3302-1,16.09.2031,2 г/10 л воды,2 г,Опрыскивание в период вегетации в фазы: «зеленый конус» - конец цветения с интервалом 7-10 дней,28,2,III,664
alternarioz,альтернариоз,болезнь,yablonya,яблоня,horus,Хорус,фунгицид,041-02-4412-0,14.02.2027,2 г/10 лводы,2 г,Опрыскивание в период вегетации в фазы: «зеленый конус» - конец цветения с интервалом 7-10 дней.,28,2,III,665
alternarioz,альтернариоз,болезнь,yablonya,яблоня,shrilank,Шриланк,фунгицид,021-02-4134-1,20.06.2033,"6,0 - мл/10 лводы",,Опрыскивание в период вегетации до и после цветения с интервалом не более 10-14 дней (в зависимости от возраста и объема кроны),21,3,III,461
ambroziya,амброзия,сорняк,gazon,газон,gerbimaks,Гербимакс,гербицид,008-03-4377-0,23.01.2027,6 мл/5 лводы,12 мл,Опрыскивание газонов по вегетирующим сорным растениям после первого укоса,,1,III,957
ambroziya,амброзия,сорняк,gazon,газон,haker-300,Хакер 300,гербицид,021-03-3602-1,06.04.2032,"1,6-3,3 мл/ 3 л воды","5,3–11 мл",Опрыскивание газонов по вегетирующим сорным растениям после первого укоса. Запрещается пребывание людей на обработанных газонах в течение 3 дней,,1,III,966
ambroziya,амброзия,сорняк,kormovye-travy,кормовые травы,gerbimaks,Гербимакс,гербицид,008-03-4377-0,23.01.2027,6 мл/5 лводы,12 мл,Опрыскивание газонов по вегетирующим сорным растениям после первого укоса,,1,III,957
antraknoz,антракноз,болезнь,vinograd,виноград,abiga-pik,Абига-Пик,фунгицид,407-02-1316-1,25.12.2026,40 г/10 лводы,40 г,Опрыскивание в период вегетации- 10л/100 м2,30,6,III,654
antraknoz,антракноз,болезнь,vinograd,виноград,hom,Хом,фунгицид,046-02-5033-1,29.03.2028,40 г/10 лводы,40 г,"Опрыскивание растений в период вегетации 0,4 %-м рабочим раствором с интервалом 7-10 дней.",43,6,III,472
antraknoz,антракноз,болезнь,kartofel,картофель,stakkato,Стаккато,фунгицид,018-02-10081-1,17.08.2036,30 мл/1-3 лводы,,Обработка дна борозды.,,1,III,296
antraknoz,антракноз,болезнь,kartofel,картофель,stakkato,Стаккато,фунгицид,018-02-10081-1,17.08.2036,50 мл/2-4 лводы,,Опрыскивание в период вегетации с интервалом 10-14 дней.,,4,III,296
antraknoz,антракноз,болезнь,kartofel,картофель,stakkato,Стаккато,фунгицид,018-02-10081-1,17.08.2036,30 мл/30 мл воды,,Обработка при закладке на хранение.,,1,III,297
antraknoz,антракноз,болезнь,komnatnye-rasteniya,комнатные растения (общее),gamair,Гамаир,фунгицид,139-02-2349-1,14.08.2029,2 таб./1 л,20 таб,Опрыскивание в период вегетации с интервалом 14 дней,,3,III,332
antraknoz,антракноз,болезнь,kryzhovnik,крыжовник,bordoskaya-zhidkost,Бордоская жидкость,фунгицид,021-02-3994-1,01.03.2033,250 мл/10 лводы,250 мл,Ранневесеннее опрыскивание в фазе «зеленого конуса» (в зависимости от возраста и типа формирования куста),60,1,II,468
antraknoz,антракноз,болезнь,kryzhovnik,крыжовник,bordoskaya-zhidkost,Бордоская жидкость,фунгицид,021-02-3994-1,01.03.2033,100 мл/10 лводы,100 мл,Опрыскивание по вегетации: первое - после цветения; последующие –с интервалом 7 дней (в зависимости от возраста и типа формирования куста),20,3,II,468
antraknoz,антракноз,болезнь,kryzhovnik,крыжовник,profi,Профи,фунгицид,097(002)-02-2635-1,30.03.2030,7-10 мл/10 лводы,7–10 мл,Опрыскивание в период вегетации до цветения и после уборки урожая,20,2,III,504
antraknoz,антракноз,болезнь,kryzhovnik,крыжовник,silar,Силар,фунгицид,008-02-3711-1,07.06.2032,20 мл/л воды,200 мл,Опрыскивание в период вегетации с интервалом 15 – 20 дней,12,3,III,498
antraknoz,антракноз,болезнь,malina,малина,profi,Профи,фунгицид,097(002)-02-2635-1,30.03.2030,7-10 мл/10 лводы,7–10 мл,Опрыскивание в период вегетации до цветения и после уборки урожая,20,2,III,504
antraknoz,антракноз,болезнь,ogurets,огурец,abiga-pik,Абига-Пик,фунгицид,407-02-1316-1,25.12.2026,50 г/10 лводы,50 г,Опрыскивание в период вегетации,20,3,III,654
antraknoz,антракноз,болезнь,smorodina,смородина,bordoskaya-zhidkost,Бордоская жидкость,фунгицид,021-02-3994-1,01.03.2033,250 мл/10 лводы,250 мл,Ранневесеннее опрыскивание в фазе «зеленого конуса» (в зависимости от возраста и типа формирования куста),60,1,II,468
antraknoz,антракноз,болезнь,smorodina,смородина,bordoskaya-zhidkost,Бордоская жидкость,фунгицид,021-02-3994-1,01.03.2033,100 мл/10 лводы,100 мл,Опрыскивание по вегетации: первое - после цветения; последующие –с интервалом 7 дней (в зависимости от возраста и типа формирования куста),28,3,II,468
antraknoz,антракноз,болезнь,smorodina,смородина,bordoskaya-smes-f,Бордоская смесь-Ф,фунгицид,149-02-4542-1,02.05.2034,100 г сульфатамеди +100 г кальция гидроксида/1 0 л воды,,"Опрыскивание в период вегетации 1% рабочим раствором (1-я и 2-я обработки до цветения, 3-я обработка после сбора урожая)",,3,III,465
antraknoz,антракноз,болезнь,smorodina,смородина,prognoz,Прогноз,фунгицид,046-02-5040-1,31.10.2032,10 мл/10 лводы,10 мл,Опрыскивание в период вегетации до цветения и после уборки урожая,27,2,III,510
antraknoz,антракноз,болезнь,smorodina,смородина,profi,Профи,фунгицид,097(002)-02-2635-1,30.03.2030,7-10 мл/10 лводы,7–10 мл,Опрыскивание в период вегетации до цветения и после уборки урожая,20,2,III,504
antraknoz,антракноз,болезнь,smorodina,смородина,silar,Силар,фунгицид,008-02-3711-1,07.06.2032,20 мл/л воды,200 мл,Опрыскивание в период вегетации с интервалом 15 – 20 дней,12,3,III,498
antraknoz,антракноз,болезнь,tsvety,цветы (общее),gamair,Гамаир,фунгицид,139-02-2349-1,14.08.2029,2 таб./1 л,20 таб,Опрыскивание в период вегетации с интервалом 14 дней,,3,III,332
askohitoz,аскохитоз,болезнь,goroh-fasol,горох / фасоль,fitosporin-as,Фитоспорин-АС,фунгицид,585-02-3649-1,21.04.2032,3 мл/кг семян,,Предпосевная обработка семян за 1-5 суток с последующей обработкой по вегетации,,1,III,336
askohitoz,аскохитоз,болезнь,ogurets,огурец,tetris,Тетрис,фунгицид,101(008)-02-3940-1,09.01.2033,3 г/10 л воды,3 г,Предпосевное замачивание семян в течение 1-2 часов с последующим просушиванием в тени,,1,III,358
askohitoz,аскохитоз,болезнь,ogurets,огурец,tetris,Тетрис,фунгицид,101(008)-02-3940-1,09.01.2033,25 г/10 лводы,25 г,"Полив растений под корень в фазе 2-4-х настоящих листьев, повторный полив-через 2 недели",,2,III,358
askohitoz,аскохитоз,болезнь,ogurets,огурец,trihodermaveride-471,ТриходермаВериде 471,фунгицид,008-02-1364-1,01.02.2027,3 г/10 л воды,3 г,Предпосевное замачивание семян в течение 1 - 2 часов с последующим просушиванием в тени,,1,III,354
askohitoz,аскохитоз,болезнь,ogurets,огурец,trihodermaveride-471,ТриходермаВериде 471,фунгицид,008-02-1364-1,01.02.2027,25-50 г/10 лводы,25–50 г,"Полив в лунку при посадке, последующий - под корень растения через 2-3 недели",,2,III,354
askohitoz,аскохитоз,болезнь,ogurets,огурец,trihodermaveride-471,ТриходермаВериде 471,фунгицид,008-02-1364-1,01.02.2027,15 г/10 лводы,15 г,Опрыскивание в период начало цветения -плодоношение,,1,III,354
askohitoz,аскохитоз,болезнь,ogurets,огурец,trihodermaveride-471,ТриходермаВериде 471,фунгицид,008-02-1364-1,01.02.2027,3 г/10 л воды,3 г,Предпосевное замачивание семян в течение 1 – 2 часов с последующим просушиванием в тени,,1,III,355
