regulation_id,target_slug,target,kind,latin
108,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
109,dolgonosik,долгоносик,вредитель,
109,miniruyuschaya-mol,минирующая моль,вредитель,
109,tlya,тля,вредитель,Aphis gossypii Glov.
110,dolgonosik,долгоносик,вредитель,
110,miniruyuschaya-mol,минирующая моль,вредитель,
110,tlya,тля,вредитель,Aphis gossypii Glov.
111,lugovoy-motylek,луговой мотылек,вредитель,
112,lugovoy-motylek,луговой мотылек,вредитель,
113,lugovoy-motylek,луговой мотылек,вредитель,
114,lugovoy-motylek,луговой мотылек,вредитель,
115,lugovoy-motylek,луговой мотылек,вредитель,
115,sovka,совка,вредитель,
116,lugovoy-motylek,луговой мотылек,вредитель,
116,sovka,совка,вредитель,
117,pyavitsa,пьявица,вредитель,Oulema melanopus
118,pyavitsa,пьявица,вредитель,Oulema melanopus
119,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
119,pyavitsa,пьявица,вредитель,Oulema melanopus
119,tsikadki,цикадки,вредитель,
120,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
120,pyavitsa,пьявица,вредитель,Oulema melanopus
120,tsikadki,цикадки,вредитель,
121,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
122,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
123,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
124,listovertka,листовертка,вредитель,Pandemis ribeana Hbn.
125,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
126,listovertka,листовертка,вредитель,Pandemis ribeana Hbn.
126,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
126,tsvetoed,цветоед,вредитель,
126,schitovka,щитовка,вредитель,Lepidosaphes ulmi L.
127,listovertka,листовертка,вредитель,Pandemis ribeana Hbn.
128,hlebnaya-zhuzhelitsa,хлебная жужелица,вредитель,
129,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
129,tlya,тля,вредитель,Aphis gossypii Glov.
129,tsikadki,цикадки,вредитель,
130,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
131,zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,
131,provolochnik,проволочник,вредитель,
132,zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,
132,provolochnik,проволочник,вредитель,
133,zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,
133,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
133,provolochnik,проволочник,вредитель,
134,dolgonosik,долгоносик,вредитель,
134,zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,
134,provolochnik,проволочник,вредитель,
135,hlebnaya-zhuzhelitsa,хлебная жужелица,вредитель,
136,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
136,sornyaki,сорняки (общее),сорняк,
137,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
138,zhuk-schelkun-provolochnik,жук-щелкун / проволочник,вредитель,
138,provolochnik,проволочник,вредитель,
138,sovka,совка,вредитель,
139,listogryzuschie-vrediteli,листогрызущие вредители,вредитель,
139,tlya,тля,вредитель,Aphis gossypii Glov.
140,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
141,listovertka,листовертка,вредитель,Pandemis ribeana Hbn.
141,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
142,listovertka,листовертка,вредитель,Pandemis ribeana Hbn.
142,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
143,lugovoy-motylek,луговой мотылек,вредитель,
144,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
144,sovka,совка,вредитель,
144,tlya,тля,вредитель,Aphis gossypii Glov.
145,sovka,совка,вредитель,
145,tlya,тля,вредитель,Aphis gossypii Glov.
146,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
146,miniruyuschaya-mol,минирующая моль,вредитель,
147,miniruyuschaya-mol,минирующая моль,вредитель,
148,sovka,совка,вредитель,
149,tlya,тля,вредитель,Aphis gossypii Glov.
150,lugovoy-motylek,луговой мотылек,вредитель,
151,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
151,klop,клоп,вредитель,
151,listogryzuschie-vrediteli,листогрызущие вредители,вредитель,
151,sosuschie-vrediteli,сосущие вредители,вредитель,
151,shelkopryad,шелкопряд,вредитель,Ocneria dispar
152,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
152,klop,клоп,вредитель,
152,listogryzuschie-vrediteli,листогрызущие вредители,вредитель,
152,sosuschie-vrediteli,сосущие вредители,вредитель,
152,shelkopryad,шелкопряд,вредитель,Ocneria dispar
153,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
153,lugovoy-motylek,луговой мотылек,вредитель,
153,sovka,совка,вредитель,
154,klop,клоп,вредитель,
154,klop-vrednaya-cherepashka,клоп вредная черепашка,вредитель,
154,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
154,pyavitsa,пьявица,вредитель,Oulema melanopus
154,tlya,тля,вредитель,Aphis gossypii Glov.
154,tripsy,трипсы,вредитель,
155,pyavitsa,пьявица,вредитель,Oulema melanopus
155,tlya,тля,вредитель,Aphis gossypii Glov.
156,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
156,lugovoy-motylek,луговой мотылек,вредитель,
157,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
157,lugovoy-motylek,луговой мотылек,вредитель,
158,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
158,lugovoy-motylek,луговой мотылек,вредитель,
158,sovka,совка,вредитель,
159,tsvetoed,цветоед,вредитель,
160,tlya,тля,вредитель,Aphis gossypii Glov.
161,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
162,tlya,тля,вредитель,Aphis gossypii Glov.
163,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
163,sovka,совка,вредитель,
164,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
165,listovertka,листовертка,вредитель,Pandemis ribeana Hbn.
165,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
166,listovertka,листовертка,вредитель,Pandemis ribeana Hbn.
167,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
167,klop,клоп,вредитель,
167,listogryzuschie-vrediteli,листогрызущие вредители,вредитель,
167,sosuschie-vrediteli,сосущие вредители,вредитель,
167,shelkopryad,шелкопряд,вредитель,Ocneria dispar
168,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
168,klop,клоп,вредитель,
168,listogryzuschie-vrediteli,листогрызущие вредители,вредитель,
168,sosuschie-vrediteli,сосущие вредители,вредитель,
168,shelkopryad,шелкопряд,вредитель,Ocneria dispar
169,saranchovye,саранчовые,вредитель,
170,saranchovye,саранчовые,вредитель,
171,ognevka,огневка,вредитель,
171,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
171,sovka,совка,вредитель,
172,dolgonosik,долгоносик,вредитель,
172,listogryzuschie-vrediteli,листогрызущие вредители,вредитель,
172,lugovoy-motylek,луговой мотылек,вредитель,
172,ognevka,огневка,вредитель,
172,sovka,совка,вредитель,
173,lugovoy-motylek,луговой мотылек,вредитель,
174,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
174,lugovoy-motylek,луговой мотылек,вредитель,
174,sovka,совка,вредитель,
175,ambarnye-vrediteli,амбарные вредители,вредитель,
175,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
175,tlya,тля,вредитель,Aphis gossypii Glov.
175,tripsy,трипсы,вредитель,
176,miniruyuschaya-mol,минирующая моль,вредитель,
177,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
177,miniruyuschaya-mol,минирующая моль,вредитель,
178,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
178,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
178,sovka,совка,вредитель,
178,tlya,тля,вредитель,Aphis gossypii Glov.
179,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
179,sovka,совка,вредитель,
180,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
180,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
180,sovka,совка,вредитель,
181,dolgonosik,долгоносик,вредитель,
182,listovertka,листовертка,вредитель,Pandemis ribeana Hbn.
183,miniruyuschaya-mol,минирующая моль,вредитель,
184,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
184,listovertka,листовертка,вредитель,Pandemis ribeana Hbn.
185,miniruyuschaya-mol,минирующая моль,вредитель,
186,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
186,sovka,совка,вредитель,
186,tripsy,трипсы,вредитель,
187,sovka,совка,вредитель,
188,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
189,sovka,совка,вредитель,
190,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
191,plodozhorka,плодожорка,вредитель,Cydia pomonella L.
192,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
192,listogryzuschie-vrediteli,листогрызущие вредители,вредитель,
192,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
192,shelkopryad,шелкопряд,вредитель,Ocneria dispar
193,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
194,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
194,sovka,совка,вредитель,
195,kleschi,клещи (общее),вредитель,
196,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
196,medyanitsa,медяница,вредитель,Psylla pyri L.
197,tlya,тля,вредитель,Aphis gossypii Glov.
198,kleschi,клещи (общее),вредитель,
198,tripsy,трипсы,вредитель,
198,tsikadki,цикадки,вредитель,
199,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
200,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
201,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
202,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
203,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
203,klop,клоп,вредитель,
203,miniruyuschaya-mol,минирующая моль,вредитель,
203,ognevka,огневка,вредитель,
203,shelkopryad,шелкопряд,вредитель,Ocneria dispar
204,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
204,klop,клоп,вредитель,
204,miniruyuschaya-mol,минирующая моль,вредитель,
204,ognevka,огневка,вредитель,
204,shelkopryad,шелкопряд,вредитель,Ocneria dispar
205,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
205,klop,клоп,вредитель,
205,miniruyuschaya-mol,минирующая моль,вредитель,
205,ognevka,огневка,вредитель,
205,shelkopryad,шелкопряд,вредитель,Ocneria dispar
206,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
207,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
208,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
209,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
209,klop,клоп,вредитель,
209,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
210,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
210,klop,клоп,вредитель,
210,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
211,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
211,klop,клоп,вредитель,
211,pililschik,пилильщик,вредитель,Hoplocampa brevis Klug.
212,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
213,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
213,sovka,совка,вредитель,
214,kleschi,клещи (общее),вредитель,
214,krestotsvetnaya-bloshka,крестоцветная блошка,вредитель,"Phyllotreta nemorum L., Ph. undulata Kutsch., Ph. armoraciae Koch., Ph. striolata F., Ph. atra Fabr., Ph. cruciferae Goeze., Ph. nigripes F."
214,medyanitsa,медяница,вредитель,Psylla pyri L.
215,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
216,kleschi,клещи (общее),вредитель,
217,kleschi,клещи (общее),вредитель,
218,kleschi,клещи (общее),вредитель,
219,kleschi,клещи (общее),вредитель,
219,tripsy,трипсы,вредитель,
219,tsikadki,цикадки,вредитель,
220,lugovoy-motylek,луговой мотылек,вредитель,
221,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
221,listovertka,листовертка,вредитель,Pandemis ribeana Hbn.
221,pyadenitsa,пяденица,вредитель,
221,shelkopryad,шелкопряд,вредитель,Ocneria dispar
222,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
222,listovertka,листовертка,вредитель,Pandemis ribeana Hbn.
222,pyadenitsa,пяденица,вредитель,
222,shelkopryad,шелкопряд,вредитель,Ocneria dispar
223,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
223,listovertka,листовертка,вредитель,Pandemis ribeana Hbn.
223,pyadenitsa,пяденица,вредитель,
223,shelkopryad,шелкопряд,вредитель,Ocneria dispar
224,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
224,pyadenitsa,пяденица,вредитель,
224,sovka,совка,вредитель,
224,shelkopryad,шелкопряд,вредитель,Ocneria dispar
225,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
225,pyadenitsa,пяденица,вредитель,
225,sovka,совка,вредитель,
225,shelkopryad,шелкопряд,вредитель,Ocneria dispar
226,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
226,pyadenitsa,пяденица,вредитель,
226,sovka,совка,вредитель,
226,shelkopryad,шелкопряд,вредитель,Ocneria dispar
227,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
227,pyadenitsa,пяденица,вредитель,
227,shelkopryad,шелкопряд,вредитель,Ocneria dispar
228,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
228,pyadenitsa,пяденица,вредитель,
228,shelkopryad,шелкопряд,вредитель,Ocneria dispar
229,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
229,pyadenitsa,пяденица,вредитель,
229,shelkopryad,шелкопряд,вредитель,Ocneria dispar
230,koloradskiy-zhuk,колорадский жук,вредитель,Leptinotarsa decemlineata
231,sovka,совка,вредитель,
232,pautinnyy-klesch,паутинный клещ,вредитель,Eotetranychus pruni (Oudemans)
233,miniruyuschaya-mol,минирующая моль,вредитель,
234,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
234,sovka,совка,вредитель,
235,gusenitsy,гусеницы,вредитель,Mamestra brassicae L.
235,sovka,совка,вредитель,
