reg_no,product,ingredient_slug,ingredient,conc_value,conc_unit
197-03-2714-1,Агроника Гранд,mezotrion,Мезотрион,70.0,г/л
197-03-2714-1,Агроника Гранд,nikosulfuron,Никосульфурон,40.0,г/л
023(395)-03-1277-1,Агростар,tribenuron-metil,Трибенурон-метил,750.0,г/кг
197(023)-03-2469-1,Агростар Гранд,tribenuron-metil,Трибенурон-метил,630.0,г/кг
197(023)-03-2469-1,Агростар Гранд,florasulam,Флорасулам,120.0,г/кг
811-01-3647-1,Агростраж,dioksid-kremniya,Диоксид кремния,800.0,г/кг
126-03-3168-1,Агрошанс,mtspa,МЦПА,500.0,г/л
192-03-10101-0,Адвайзер,izoksaflyutol,Изоксафлютол,56.0,г/л
192-03-10101-0,Адвайзер,s-metolahlora,С-метолахлора,800.0,г/л
192-02-1114-1,Адванс,flutriafol,Флутриафол,800.0,г/кг
913-03-4471-1,Адвокат,dikamba,Дикамба,480.0,г/л
042-03-441-1,Адекват,dikvat,Дикват,150.0,г/л
014-02-661-1,Адексар,fluksapiroksad,Флуксапироксад,62.5,г/л
014-02-661-1,Адексар,epoksikonazol,Эпоксиконазол,62.5,г/л
019-03-1022-1,Аденго,izoksaflyutol,Изоксафлютол,225.0,г/л
019-03-9871-0,Аденго,izoksaflyutol,Изоксафлютол,225.0,г/л
019-03-1022-1,Аденго,tienkarbazon-metil,Тиенкарбазон-метил,90.0,г/л
019-03-9871-0,Аденго,tienkarbazon-metil,Тиенкарбазон-метил,90.0,г/л
019-03-1022-1,Аденго,tsiprosulfamid,Ципросульфамид,150.0,г/л
019-03-9871-0,Аденго,tsiprosulfamid,Ципросульфамид,150.0,г/л
032-01-1050-1,Адмирал,piriproksifen,Пирипроксифен,100.0,г/л
082-02-4056-1,Азоксит,azoksistrobin,Азоксистробин,200.0,г/л
082-02-4056-1,Азоксит,tebukonazol,Тебуконазол,160.0,г/л
046-02-2680-1,Азорит,azoksistrobin,Азоксистробин,200.0,г/л
046-02-5069-1,Азорит,azoksistrobin,Азоксистробин,200.0,г/л
046-02-2680-1,Азорит,tsiprokonazol,Ципроконазол,80.0,г/л
046-02-5069-1,Азорит,tsiprokonazol,Ципроконазол,80.0,г/л
018-02-1859-1,Азорро,azoksistrobin,Азоксистробин,100.0,г/л
018-02-1859-1,Азорро,karbendazim,Карбендазим,300.0,г/л
699-02-9777-1,Азумакс,kaptan,Каптан,800.0,г/кг
004(549)-01-5003-1,Айвенго,alfa-tsipermetrin,Альфа-ципермeтрин,100.0,г/л
178-03-1073-1,Айкон,2-4-d,"2,4-Д",550.0,г/л
178-03-9765-0,Айкон,2-4-d,"2,4-Д",550.0,г/л
699-03-4759-1,Аймокс,klopiralid,Клопиралид,750.0,г/кг
029-02-2721-1,Аканто Плюс,pikoksistrobin,Пикоксистробин,200.0,г/л
029-02-2721-1,Аканто Плюс,tsiprokonazol,Ципроконазол,80.0,г/л
866-02-4773-0,Аканто Плюс КА,pikoksistrobin,Пикоксистробин,200.0,г/л
389-01-1441-1,Акарб,fenoksikarb,Феноксикарб,250.0,г/кг
018-01-2796-1,Акардо,spirodiklofen,Спиродиклофен,250.0,г/л
130-03-3276-1,Акбарс,klokvintoset-meksil,Клоквинтосет-мексил,27.0,г/л
130-03-3276-1,Акбарс,fenoksaprop-p-etil,Феноксапроп-п-этил,100.0,г/л
586-03-3478-1,Акебоно,klomazon,Кломазон,75.0,г/л
586-03-3478-1,Акебоно,s-metolahlor,С-метолахлор,825.0,г/л
866-03-10098-0,Акелло,aklonifen,Аклонифен,600.0,г/л
050-03-3275-1,Акзифор,oksifluorfen,Оксифлуорфен,240.0,г/л
178-01-3990-1,Акиба,imidakloprid,Имидаклоприд,500.0,г/л
082-01-2856-1,Аккорд,alfa-tsipermetrin,Альфа-ципермeтрин,100.0,г/л
058-03-848-1,Аккурат,metsulfuron-metil,Метсульфурон-метил,600.0,г/кг
334-03-2557-1,Акрис,dimetenamid-r,Диметенамид-р,280.0,г/л
334-03-2557-1,Акрис,terbutilazin,Тербутилазин,250.0,г/л
015-02-2310-1,Акробат МЦ,dimetomorf,Диметоморф,90.0,г/кг
015-02-2310-1,Акробат МЦ,mankotseb,Манкоцеб,600.0,г/кг
097-03-3100-1,Аксакал,klokvintoset-meksil,Клоквинтосет-мексил,11.25,г/л
097-03-3100-1,Аксакал,pinoksaden,Пиноксаден,45.0,г/л
002-03-4330-0,Аксакал Плюс,klokvintoset-meksil,Клоквинтосет-мексил,12.5,г/л
002-03-4330-0,Аксакал Плюс,pinoksaden,Пиноксаден,50.0,г/л
002-03-4330-0,Аксакал Плюс,florasulam,Флорасулам,6.25,г/л
002-03-4340-0,Аксакал Практик,klokvintoset-meksil,Клоквинтосет-мексил,25.0,г/л
002-03-4340-0,Аксакал Практик,pinoksaden,Пиноксаден,50.0,г/л
002-03-4340-0,Аксакал Практик,fenoksaprop-p-etil,Феноксапроп-п-этил,50.0,г/л
177-08-3527-1,Аксела,metaldegid,Метальдегид,30.0,г/кг
041-03-2074-1,Аксиал 50,klokvintoset-meksil,Клоквинтосет-мексил,12.5,г/л
041-03-2074-1,Аксиал 50,pinoksaden,Пиноксаден,50.0,г/л
041-03-3495-1,Аксиал Кросс,klokvintoset-meksil,Клоквинтосет-мексил,11.25,г/л
041-03-3495-1,Аксиал Кросс,pinoksaden,Пиноксаден,45.0,г/л
041-03-3495-1,Аксиал Кросс,florasulam,Флорасулам,5.0,г/л
278-02-4115-1,Аксиома,karbendazim,Карбендазим,500.0,г/л
041-01-4386-0,Актара,tiametoksam,Тиаметоксам,250.0,г/кг
041-01-4549-1,Актеллик,pirimifos-metil,Пиримифос-метил,500.0,г/л
042(275)-03-823-1,Актеон,klopiralid,Клопиралид,267.0,г/л
042(275)-03-823-1,Актеон,pikloram,Пиклорам,67.0,г/л
018-03-4688-1,Актион,etofumezat,Этофумезат,500.0,г/л
010(038)-03-4072-0,Актуаль,glifosat,Глифосат,480.0,г/л
038-03-9877-0,Актуаль,glifosat,Глифосат,480.0,г/л
010-03-2639-1,Акцент,galoksifop-r-metil,Галоксифоп-р-метил,75.0,г/л
010-03-2639-1,Акцент,kletodim,Клетодим,150.0,г/л
050-03-4293-0,Алгоритм,klomazon,Кломазон,480.0,г/л
197-03-4271-0,Алебарда,klokvintoset-meksil,Клоквинтосет-мексил,6.0,г/л
197-03-4271-0,Алебарда,pinoksaden,Пиноксаден,23.0,г/л
197-03-4271-0,Алебарда,fenoksaprop-p-etil,Феноксапроп-п-этил,23.0,г/л
015-02-723-1,Алиос,tritikonazol,Тритиконазол,300.0,г/л
021-01-4205-1,Алиот,malation,Малатион,570.0,г/л
139-02-3307-1,Алирин-Б,bacillus-subtilis,Bacillus subtilis,1000000000.0,КОЕ/Мл
139-02-2348-1,Алирин-Б,bacillus-subtilis,Bacillus subtilis,1000000000.0,КОЕ/г
139-02-2116-1,Алирин-Б,bacillus-subtilis,Bacillus subtilis,100000000000.0,КОЕ/г
019-03-4052-1,Алистер Гранд,diflyufenikan,Дифлюфеникан,180.0,г/кг
019-03-4052-1,Алистер Гранд,yodosulfuron-metil-natriy,Йодосульфурон-метил-натрий,4.5,г/кг
019-03-4052-1,Алистер Гранд,mezosulfuron-metil,Мезосульфурон-метил,6.0,г/кг
019-03-4052-1,Алистер Гранд,mefenpir-dietil,Мефенпир-диэтил,27.0,г/кг
178-03-2209-1,Аллерт,tifensulfuron-metil,Тифенсульфурон-метил,750.0,г/кг
178-03-9676-1,Аллерт Флюид,tifensulfuron-metil,Тифенсульфурон-метил,150.0,г/л
021-03-2825-1,Алсион,tifensulfuron-metil,Тифенсульфурон-метил,750.0,г/кг
130-01-3479-1,АлтАльф,alfa-tsipermetrin,Альфа-ципермeтрин,100.0,г/л
130-02-3286-1,АлтСил,tebukonazol,Тебуконазол,60.0,г/л
130-01-3344-1,Алтын,lyambda-tsigalotrin,Лямбда-цигалотрин,50.0,г/л
424-01-4618-1,Алфос,alyuminiya-fosfid,Алюминия фосфид,560.0,г/кг
699-03-4760-1,Алхимик,klodinafop-propargil,Клодинафоп-пропаргил,90.0,г/л
699-03-4760-1,Алхимик,klokvintoset-meksil,Клоквинтосет-мексил,60.0,г/л
699-03-4760-1,Алхимик,fenoksaprop-p-etil,Феноксапроп-п-этил,140.0,г/л
081-02-2950-1,Альбит,kaliy-azotnokislyy,Калий азотнокислый,91.2,г/кг
081-07-866-1,Альбит,kaliy-azotnokislyy,Калий азотнокислый,91.2,г/кг
081-07-9800-1,Альбит,kaliy-azotnokislyy,Калий азотнокислый,91.2,г/кг
081-02-2950-1,Альбит,kaliy-fosfornokislyy,Калий фосфорнокислый,91.1,г/кг
081-07-866-1,Альбит,kaliy-fosfornokislyy,Калий фосфорнокислый,91.1,г/кг
081-07-9800-1,Альбит,kaliy-fosfornokislyy-dvuzameschennyy,Калий фосфорнокислый двузамещенный,91.1,г/кг
081-02-2950-1,Альбит,karbamid,Карбамид,181.5,г/кг
081-07-866-1,Альбит,karbamid,Карбамид,181.5,г/кг
081-07-9800-1,Альбит,karbamid,Карбамид,181.5,г/кг
081-02-2950-1,Альбит,magniy-sernokislyy,Магний сернокислый,29.8,г/кг
081-07-866-1,Альбит,magniy-sernokislyy,Магний сернокислый,29.8,г/кг
081-07-9800-1,Альбит,magniy-sernokislyy,Магний сернокислый,29.8,г/кг
081-02-2950-1,Альбит,poli-beta-gidroksimaslyanaya-kislota,Поли-бета-гидроксимасляная кислота,6.2,г/кг
081-07-866-1,Альбит,poli-beta-gidroksimaslyanaya-kislota,Поли-бета-гидроксимасляная кислота,6.2,г/кг
081-07-9800-1,Альбит,poli-beta-gidroksimaslyanaya-kislota,Поли-бета-гидроксимасляная кислота,6.2,г/кг
002-02-3585-1,Алькасар,difenokonazol,Дифеноконазол,30.0,г/л
002-02-3585-1,Алькасар,tsiprokonazol,Ципроконазол,6.3,г/л
002-02-9976-0,Алькасар Макс,difenokonazol,Дифеноконазол,90.0,г/л
002-02-9976-0,Алькасар Макс,piraklostrobin,Пираклостробин,40.0,г/л
002-02-9976-0,Алькасар Макс,tebukonazol,Тебуконазол,45.0,г/л
002-02-2427-1,Алькор,tsiprokonazol,Ципроконазол,400.0,г/л
549(347)-02-4262-1,Альпари,propikonazol,Пропиконазол,250.0,г/л
549(347)-02-4262-1,Альпари,tsiprokonazol,Ципроконазол,80.0,г/л
046-02-4728-0,Альтазол,propikonazol,Пропиконазол,250.0,г/л
046-02-5046-0,Альтазол,propikonazol,Пропиконазол,250.0,г/л
046-02-4728-0,Альтазол,tsiprokonazol,Ципроконазол,80.0,г/л
046-02-5046-0,Альтазол,tsiprokonazol,Ципроконазол,80.0,г/л
046-02-4067-1,Альтазол Форте,propikonazol,Пропиконазол,300.0,г/л
046-02-4997-1,Альтазол Форте,propikonazol,Пропиконазол,300.0,г/л
046-02-4067-1,Альтазол Форте,tebukonazol,Тебуконазол,200.0,г/л
046-02-4997-1,Альтазол Форте,tebukonazol,Тебуконазол,200.0,г/л
010-01-2656-1,Альтаир,alfa-tsipermetrin,Альфа-ципермeтрин,100.0,г/л
192-01-2333-1,Альтерр,alfa-tsipermetrin,Альфа-ципермeтрин,100.0,г/л
041-02-4736-1,Альто Супер,propikonazol,Пропиконазол,250.0,г/л
041-02-495-1,Альто Супер,propikonazol,Пропиконазол,250.0,г/л
041-02-4736-1,Альто Супер,tsiprokonazol,Ципроконазол,80.0,г/л
041-02-495-1,Альто Супер,tsiprokonazol,Ципроконазол,80.0,г/л
041-02-4414-0,Альто Турбо,propikonazol,Пропиконазол,250.0,г/л
041-02-4414-0,Альто Турбо,tsiprokonazol,Ципроконазол,160.0,г/л
010-02-2741-1,Альтруист,azoksistrobin,Азоксистробин,60.0,г/л
010(011)-02-1571-1,Альтруист,azoksistrobin,Азоксистробин,60.0,г/л
010-02-2741-1,Альтруист,tebukonazol,Тебуконазол,100.0,г/л
010(011)-02-1571-1,Альтруист,tebukonazol,Тебуконазол,100.0,г/л
062-01-324-1,Альфа-Амиприд,atsetamiprid,Ацетамиприд,200.0,г/кг
062-03-846-1,Альфа-Гард,tifensulfuron-metil,Тифенсульфурон-метил,750.0,г/кг
062-01-657-1,Альфа-Директор,dimetoat,Диметоат,400.0,г/л
062-03-560-1,Альфа-Прометрин,prometrin,Прометрин,500.0,г/л
062-01-349-1,Альфа-Серф,imidakloprid,Имидаклоприд,200.0,г/л
184(026)-01-2445-1,Альфа-Ципи,alfa-tsipermetrin,Альфа-ципермeтрин,100.0,г/л
277-01-570-1,Альфабел,alfa-tsipermetrin,Альфа-ципермeтрин,100.0,г/л
277-01-4903-0,Альфабел,alfa-tsipermetrin,Альфа-ципермeтрин,100.0,г/л
653-01-3756-1,Альфаметрин,alfa-tsipermetrin,Альфа-ципермeтрин,100.0,г/л
322-01-4716-1,Альфаплан,alfa-tsipermetrin,Альфа-ципермeтрин,200.0,г/л
322-01-946-1,Альфаплан,alfa-tsipermetrin,Альфа-ципермeтрин,200.0,г/л
682-03-4521-1,Альфард,fomesafen,Фомесафен,250.0,г/л
098-07-564-1,Альфастим,triterpenovye-kisloty,Тритерпеновые кислоты,100.0,г/л
070-01-3367-1,Альфатек,alfa-tsipermetrin,Альфа-ципермeтрин,100.0,г/л
682(913)-01-4415-1,Альфацин,alfa-tsipermetrin,Альфа-ципермeтрин,100.0,г/л
050(360)-01-4461-1,Альфашанс,alfa-tsipermetrin,Альфа-ципермeтрин,100.0,г/л
085-01-4163-1,Альфин,alyuminiya-fosfid,Алюминия фосфид,560.0,г/кг
097-03-2421-1,Аметил,mtspa,МЦПА,500.0,г/л
002-03-2086-1,Аминка,2-4-d,"2,4-Д",600.0,г/л
097-03-3362-1,Аминка Трио,2-4-d,"2,4-Д",300.0,г/л
097-03-3362-1,Аминка Трио,pikloram,Пиклорам,51.0,г/л
097-03-3362-1,Аминка Трио,florasulam,Флорасулам,6.25,г/л
097-03-899-1,Аминка ФЛО,2-4-d,"2,4-Д",550.0,г/л
002-03-4928-1,Аминка ФЛО,2-4-d,"2,4-Д",410.0,г/л
097-03-899-1,Аминка ФЛО,florasulam,Флорасулам,7.4,г/л
002-03-4928-1,Аминка ФЛО,florasulam,Флорасулам,15.0,г/л
002-03-2087-1,Аминка ЭФ,2-4-d,"2,4-Д",550.0,г/л
156-03-1748-1,Аминопелик,2-4-d,"2,4-Д",600.0,г/л
971-01-9926-0,Аминтас,tiametoksam,Тиаметоксам,600.0,г/л
041-02-1854-1,Амистар Голд,azoksistrobin,Азоксистробин,125.0,г/л
041-02-1854-1,Амистар Голд,difenokonazol,Дифеноконазол,125.0,г/л
041-02-2059-1,Амистар Нэкст,azoksistrobin,Азоксистробин,200.0,г/л
041-02-2059-1,Амистар Нэкст,tsiprokonazol,Ципроконазол,80.0,г/л
041-02-2676-1,Амистар Топ,azoksistrobin,Азоксистробин,200.0,г/л
041-02-2676-1,Амистар Топ,difenokonazol,Дифеноконазол,125.0,г/л
041-02-2485-1,Амистар Трио,azoksistrobin,Азоксистробин,100.0,г/л
041-02-2485-1,Амистар Трио,propikonazol,Пропиконазол,125.0,г/л
041-02-2485-1,Амистар Трио,tsiprokonazol,Ципроконазол,30.0,г/л
041-02-2076-1,Амистар Экстра,azoksistrobin,Азоксистробин,80.0,г/л
041-02-2076-1,Амистар Экстра,tsiprokonazol,Ципроконазол,200.0,г/л
682-03-4242-0,Ампир,glifosat,Глифосат,360.0,г/л
682-03-4376-0,Ампир Экстра,glifosat,Глифосат,540.0,г/л
041-01-1427-1,Амплиго,lyambda-tsigalotrin,Лямбда-цигалотрин,50.0,г/л
041-01-1427-1,Амплиго,hlorantraniliprol,Хлорантранилипрол,100.0,г/л
002-02-4974-0,Амплитуд,difenokonazol,Дифеноконазол,30.0,г/л
002-02-4974-0,Амплитуд,tiram,Тирам,400.0,г/л
297-02-10096-0,Анемон,propikonazol,Пропиконазол,250.0,г/л
297-02-664-1,Анемон,propikonazol,Пропиконазол,250.0,г/л
297-02-10096-0,Анемон,tsiprokonazol,Ципроконазол,80.0,г/л
297-02-664-1,Анемон,tsiprokonazol,Ципроконазол,80.0,г/л
070-02-3864-1,Анкер Трио,imazalil,Имазалил,40.0,г/л
070-02-3864-1,Анкер Трио,tebukonazol,Тебуконазол,60.0,г/л
070-02-3864-1,Анкер Трио,tiabendazol,Тиабендазол,60.0,г/л
111-03-2523-1,Анкор-85,sulfometuron-metila-kislota,Сульфометурон-метила кислота,750.0,г/кг
184-02-9700-1,Анонс,protiokonazol,Протиоконазол,175.0,г/л
184-02-9700-1,Анонс,trifloksistrobin,Трифлоксистробин,150.0,г/л
010-02-2190-1,Ансамбль,tiabendazol,Тиабендазол,25.0,г/л
010-02-2190-1,Ансамбль,flutriafol,Флутриафол,25.0,г/л
050(360)-03-3156-1,Антарес,mtspa,МЦПА,500.0,г/л
156-07-2120-1,Антивылегач,hlormekvathlorid,Хлормекватхлорид,675.0,г/л
126-06-3845-1,Антимышин,brodifakum,Бродифакум,2.5,г/л
560-01-2329-1,Антитлин,nikotin,Никотин,9.0,г/кг
019-02-2981-1,Антракол,propineb,Пропинеб,700.0,г/кг
197-02-9753-0,Аншлаг,hlorotalonil,Хлороталонил,500.0,г/л
018-01-3914-1,Апекс,piriproksifen,Пирипроксифен,100.0,г/л
018-02-10052-0,Апогей,tiram,Тирам,400.0,г/л
156-01-4643-1,Аполло,klofentezin,Клофентезин,500.0,г/л
782-01-3477-1,Апплауд,buprofezin,Бупрофезин,250.0,г/кг
156-03-2023-1,Априори,mezotrion,Мезотрион,570.0,г/кг
156-03-2023-1,Априори,nikosulfuron,Никосульфурон,230.0,г/кг
126-03-4496-1,Апроватор,klokvintoset-meksil,Клоквинтосет-мексил,11.25,г/л
126-03-4496-1,Апроватор,pinoksaden,Пиноксаден,45.0,г/л
126-03-9718-0,Апроватор Ультра,klodinafop-propargil,Клодинафоп-пропаргил,68.0,г/л
126-03-9718-0,Апроватор Ультра,klokvintoset-meksil,Клоквинтосет-мексил,31.0,г/л
126-03-9718-0,Апроватор Ультра,pinoksaden,Пиноксаден,54.5,г/л
041-02-2975-1,Апрон Голд,mefenoksam,Мефеноксам,350.0,г/л
869-03-4765-1,Апстейдж,klomazon,Кломазон,360.0,г/л
184(026)-03-3474-1,Арабеск,2-4-d,"2,4-Д",410.0,г/л
184(026)-03-3474-1,Арабеск,florasulam,Флорасулам,7.4,г/л
082-03-9761-0,Арбалет,2-4-d,"2,4-Д",300.0,г/л
082-03-924-1,Арбалет,2-4-d,"2,4-Д",300.0,г/л
082-03-9761-0,Арбалет,florasulam,Флорасулам,6.25,г/л
082-03-924-1,Арбалет,florasulam,Флорасулам,6.25,г/л
966-03-4835-0,Арби-С,triflusulfuron-metil,Трифлусульфурон-метил,500.0,г/кг
489-03-2982-1,Арбитр АГ,triflusulfuron-metil,Трифлусульфурон-метил,500.0,г/кг
054-03-2481-1,Арбонал,imazapir,Имазапир,250.0,г/л
050-03-3457-1,Аргамак,tribenuron-metil,Трибенурон-метил,750.0,г/кг
018-03-9714-1,Арго,klodinafop-propargil,Клодинафоп-пропаргил,24.0,г/л
018-03-9714-1,Арго,mefenpir-dietila,Мефенпир-диэтила,30.0,г/л
018-03-9714-1,Арго,fenoksaprop-p-etil,Феноксапроп-п-этил,80.0,г/л
018-03-3783-1,Арго Прим,klodinafop-propargil,Клодинафоп-пропаргил,45.0,г/л
018-03-3783-1,Арго Прим,klokvintoset-meksil,Клоквинтосет-мексил,40.0,г/л
018-03-3783-1,Арго Прим,fenoksaprop-p-etil,Феноксапроп-п-этил,90.0,г/л
607-03-4064-0,Аргумент,glifosat,Глифосат,360.0,г/л
871-03-4076-0,Аргумент Стар,glifosat,Глифосат,540.0,г/л
871-03-9887-0,Аргумент Стар,glifosat,Глифосат,540.0,г/л
046-03-4359-1,Аризон,mezotrion,Мезотрион,75.0,г/л
046-03-5068-1,Аризон,mezotrion,Мезотрион,75.0,г/л
046-03-4359-1,Аризон,nikosulfuron,Никосульфурон,30.0,г/л
046-03-5068-1,Аризон,nikosulfuron,Никосульфурон,30.0,г/л
046-03-4359-1,Аризон,florasulam,Флорасулам,3.5,г/л
046-03-5068-1,Аризон,florasulam,Флорасулам,3.5,г/л
192-03-4030-0,Аристократ Супер,glifosat,Глифосат,540.0,г/л
192-03-10034-0,Аристократ Супер,glifosat,Глифосат,540.0,г/л
192-01-1473-1,Ария,fipronil,Фипронил,250.0,г/л
062-03-2640-1,Аркан,rimsulfuron,Римсульфурон,250.0,г/кг
062-03-2640-1,Аркан,tifensulfuron-metil,Тифенсульфурон-метил,150.0,г/кг
062-03-2640-1,Аркан,florasulam,Флорасулам,80.0,г/кг
012-01-5025-1,Аркана,tiametoksam,Тиаметоксам,240.0,г/л
082-02-4343-1,Армадекс,karbendazim,Карбендазим,500.0,г/л
606-01-3745-1,Армин,alfa-tsipermetrin,Альфа-ципермeтрин,100.0,г/л
051-01-668-1,Арриво,tsipermetrin,Циперметрин,250.0,г/л
300-07-683-1,Артафит,polidiallildimetilammoniy-hlorid,Полидиаллилдиметиламмоний хлорид,100.0,г/л
019-03-1624-1,Артист,metribuzin,Метрибузин,175.0,г/кг
019-03-1624-1,Артист,flufenatset,Флуфенацет,240.0,г/кг
010-03-2275-1,Артстар,tribenuron-metil,Трибенурон-метил,750.0,г/кг
010-02-2275-1,Артстар,tribenuron-metil,Трибенурон-метил,750.0,г/кг
590-02-4990-1,Арфа,boskalid,Боскалид,250.0,г/л
590-02-4990-1,Арфа,difenokonazol,Дифеноконазол,50.0,г/л
014-02-2847-1,Архитект,mepikvat-hlorid,Мепикват-хлорид,150.0,г/л
014-07-3176-1,Архитект,mepikvat-hlorid,Мепикват-хлорид,150.0,г/л
014-02-2847-1,Архитект,piraklostrobin,Пираклостробин,100.0,г/л
014-07-3176-1,Архитект,piraklostrobin,Пираклостробин,100.0,г/л
014-02-2847-1,Архитект,progeksadion-kaltsiya,Прогексадион кальция,25.0,г/л
014-07-3176-1,Архитект,progeksadion-kaltsiya,Прогексадион кальция,25.0,г/л
197-03-2459-1,Ас,imazapir,Имазапир,250.0,г/л
070-02-4793-1,Асинуин,azoksistrobin,Азоксистробин,240.0,г/л
070-02-4793-1,Асинуин,epoksikonazol,Эпоксиконазол,160.0,г/л
021-01-2278-1,Аспид,tiakloprid,Тиаклоприд,480.0,г/л
966-02-4897-0,Ассанж,azoksistrobin,Азоксистробин,150.0,г/л
966-02-4897-0,Ассанж,fluazinam,Флуазинам,375.0,г/л
126-03-9924-1,Ассегай,propizohlor,Пропизохлор,312.5,г/л
