reg_no,name,kind,use_product,registrant,ogrn,reg_date,reg_until,status,n_brands,brands
046-11-731-1,Агрикола-аква универсальное комплексное удобрение,микроудобрение,ЛС,АО «ТПК «Техноэкспорт»,1025005325070,29.07.2015,28.07.2025,Не действует,32,Старт | Актив | Универсал | Успех | Элита | Эффект | Микробаланс | Комплекс+S | Комплекс | 36 | Сu | Zn | Mn | Fe | Mo | B | Ca | Mg | Вегета | Форвард | Фантазия | Для декоративно-листных растений | Для кактусов и суккулентов | Для комнатных и балконных растений | Для фикусов | Для пальм | Для орхидей | Для цветущих растений | От пожелтения листьев | Для роз | Для комнатных и садовых гортензий | Для хвойных растений
046-10-9966-1,"Агрикола-аква универсальное комплексное удобрение Zn,Cu",микроудобрение,C,"ООО ""ТЕХНОЭКСПОРТ""",1125042005175,22.05.2026,21.05.2036,Действует,2,Cu | Zn
344-19-933-1,Агринос 1,прочее,C,Агринос Инк.,,25.12.2015,24.12.2025,Не действует,0,
993-19-10022-1,Агринос 1+,прочее,ЛС,"ООО ""БИО+АГРО""",1197746735207,23.06.2026,22.06.2036,Действует,0,
344-19-934-1,Агринос 2,прочее,C,Агринос Инк.,,25.12.2015,24.12.2025,Не действует,0,
993-20-9853-1,Агринос 2+,прочее,ЛС,"ООО ""БИО+АГРО""",1197746735207,20.03.2026,19.03.2036,Действует,0,
496-13-1935-1,Агрифул плюс,прочее,ЛС,"АгриТекно Фертилизантес, С.Л.",,31.05.2018,30.05.2028,Действует,2,Агрифул П | Агрифул М40 П
247-21-4571-1,АгроБор,микроудобрение,ЛС,ООО «АгроМастер»,1102308006877,21.05.2024,20.05.2034,Действует,4,АгроБор 21 | АгроБор P | АгроБор K | АгроБор Ca
247-10-433-1,"АгроБор 21, АгроБор Р, АгроБор К, АгроБор Са",микроудобрение,ЛС,ООО «АгроМастер»,1102308006877,21.10.2014,20.10.2024,Не действует,0,
480-18-1886-1,АгроВерм,биоудобрение,,ООО «БИОЭРА-МОСКВА»,1167746816137,26.04.2018,25.04.2028,Действует,10,Биотоник для декоративно-лиственных растений | Биотоник для орхидей | Биотоник для рассады (антистресс) | Биотоник для цветущих растений | Универсальный биотоник для всех видов растений | АгроВерм | АгроВерм К | АгроВерм МЭ | АгроВерм О | АгроВерм Ц
442-11-1944-1,АгроГлицерр,микроудобрение,C,ООО ТД «Золотой колос»,,07.06.2018,06.06.2028,Действует,6,Натриевый Универсальный | Натриевый Цинк | Натриевый Бор | Калиевый Универсальный | Калиевый Цинк | Калиевый Бор
768-10-3323-1,АгроМаг АктиМакс,прочее,ЛС,ООО «ВЯЗЬМА-БРУСИТ»,1066722007978,29.09.2021,28.09.2031,Действует,0,
768-10-3322-1,АгроМаг гранулированный,прочее,ЛС,ООО «ВЯЗЬМА-БРУСИТ»,1066722007978,29.09.2021,28.09.2031,Действует,0,
768-11-4886-1,АгроМаг гранулированный,микроудобрение,ЛС,ООО «ВЯЗЬМА-БРУСИТ»,1066722007978,16.06.2025,бессрочно,Действует,4,MgO+S 55:10 | MgO+S 49:20 | MgO+S 42:30 | MgO+B 57:1
768-12-3635-1,АгроМаг мелиорант,кальциевое / известкование,ЛС,ООО «ВЯЗЬМА-БРУСИТ»,1066722007978,15.04.2022,14.04.2032,Действует,6,дробленый А | дробленый В | дробленый С | гранулированный А | гранулированный В | гранулированный С
247-11-2769-1,АгроМастер,комплексное NPK,ЛС,ООО «АгроМастер»,1102308006877,08.07.2020,07.07.2030,Действует,13,АгроМастер 18-18-18+3 | АгроМастер 13-40-13 | АгроМастер 3-11-38+4 | АгроМастер 9-0-46 | АгроМастер 17-6-18 | АгроМастер 15-5-30+2 | АгроМастер 10-18-32 | АгроМастер 3-37-37 | АгроМастер 15-11-15 | АгроМастер 19-6-6 | АгроМастер 20-5-10+2 | АгроМастер 20-5-20 | АгроМастер 20-20-20
247-21-4572-1,АгроМикс,прочее,ЛС,ООО «АгроМастер»,1102308006877,22.05.2024,21.05.2034,Действует,0,
247-21-922-1,АгроМикс Т,прочее,C,ООО «АгроМастер»,1102308006877,23.12.2015,22.12.2025,Не действует,0,
247-21-9627-1,АгроМикс Т,прочее,ЛС,ООО «АгроМастер»,1102308006877,10.10.2025,09.10.2035,Действует,0,
992-10-9824-0,АгроПелл,прочее,C,"ООО ""ЗИРАКС""",1023404358053,11.03.2026,10.03.2029,Действует,0,
437-19-1506-1,Агробиовит,биоудобрение,C,"ООО МИП ""КУБАНСКИЕ АГРОТЕХНОЛОГИИ""",1112311005366,22.05.2017,21.05.2027,Действует,0,
348-13-970-1,Агровин,микроудобрение,ЛС,ООО «АГРООПТИМА»,1145018002293,04.02.2016,03.02.2026,Не действует,9,Агровин Fe | Агровин Mn-Cu-Zn | Агровин Zn-Mg | Агровин Mg-Zn-B | Агровин Са | Агровин Микро | Агровин Амино | Агровин Профи | Агровин Универсал
987-13-9699-1,Агровин,микроудобрение,ЛС,"ООО ""АГРООПТИМА ПЛЮС""",1245000042638,01.12.2025,30.11.2035,Действует,2,Агровин Fe-Плюс | Агровин Zn-Mg-Плюс
987-13-9760-1,Агровин Агровин B-Mо,микроудобрение,ЛС,"ООО ""АГРООПТИМА ПЛЮС""",1245000042638,16.01.2026,15.01.2036,Действует,5,Агровин Mn-Cu-Zn-Плюс | Агровин Mg-Zn-B-Плюс | Агровин Са-Плюс | Агровин B-Mо | Агровин Микро-Микс
987-20-9764-1,"Агровин Агровин Амино,Агровин Амино-57",прочее,ЛС,"ООО ""АГРООПТИМА ПЛЮС""",1245000042638,19.01.2026,18.01.2036,Действует,2,Агровин Амино | Агровин Амино-57
987-13-9759-1,"Агровин Агровин Универсал,Агровин Профи",комплексное NPK,ЛС,"ООО ""АГРООПТИМА ПЛЮС""",1245000042638,16.01.2026,15.01.2036,Действует,2,Агровин Профи | Агровин Универсал
1001-13-9961-1,Агрогумисил,прочее,ЛС,"ООО ""ЭКОБИООРГАНИКА""",1222300021570,19.05.2026,18.05.2036,Действует,0,
390-13-3301-1,Агроким,биоудобрение,ЛС,Агропромышленная компания Кимитек С.Л.,,17.09.2021,16.09.2031,Действует,7,Батальон | Био Альгакс | Филл Макс | Фосгроу К | Хумитерре | Катон ХТ | Молиборо Ж
299-11-3614-1,Агролиф Ликвид,прочее,C,Эверрис Интернешнл Б.В.,,11.04.2022,бессрочно,Действует,6,Тотал + | МолиВ | Баланс | Хай N | Хай Р | Хай К
299-10-3805-1,Агролиф Ликвид Микро Цинк,микроудобрение,C,Эверрис Интернешнл Б.В.,,26.09.2022,бессрочно,Действует,0,
299-11-3180-1,Агролиф Пауэр,комплексное NPK,ЛС,Эверрис Интернешнл Б.В.,,10.06.2021,09.06.2031,Действует,6,"Тотал 20-20-20+МЭ | Хай N 31-11-11+МЭ | Хай P 12-52-5+МЭ | Хай К 15-10-31+МЭ | Кальций 11-5-19+9CaO+2,5 MgO+МЭ | Магний 10-5-10+16MgO+3 2SO3+МЭ"
175-10-1905-1,Агролюкс,комплексное NPK,ЛС,ООО «МосАгро»,1057747879342,08.05.2018,07.05.2028,Действует,6,Агролюкс – Рассада | Агролюкс – Огурец | Агролюкс – Томат | Агролюкс – Универсальное | Агролюкс – Газон | Агролюкс – Цветочное
299-11-4558-1,Агролюшн,комплексное NPK,ЛС,Эверрис Интернешнл Б.В.,,07.05.2024,бессрочно,Действует,11,Спешиал 12-6-29+7CaO+ТЕ | Спешиал 13-5-28+2CaO+2.5 MgO+ТЕ | Спешиал 14-7-14+14CaO+Т Е | Спешиал 14-8-22+5CaO+2MgO+ТЕ | Спешиал 23-10-23+ТЕ | Спешиал 7-14-35+3.5MgO+ ТЕ | рНЛоу 10-10-40+ТЕ | рНЛоу 10-50-10+ТЕ | рНЛоу 15-13-25+ТЕ | рНЛоу 15-30-15+ТЕ | рНЛоу 20-20-20+ТЕ
082-11-1254-1,Агроминерал,прочее,ЛС,"ООО ""ИНТЕР ГРУПП""",1084312000420,21.10.2016,20.10.2026,Действует,9,Зерновые | Олеистые | Свекла | Картофель | Кукуруза | Стручковые и бобовые | Цветы | Овощи | Рассада
868-20-4058-1,Агроморе,прочее,C,ООО ИНАРКТИКА СЗ,5077746511893,03.04.2023,02.04.2033,Действует,0,
705-10-3163-1,Агроном,прочее,ЛС,ИП ИСТОМИНА АННА ВЯЧЕСЛАВОВНА,316236000060652,27.05.2021,26.05.2031,Действует,0,
622-13-2724-1,Агроптим Лагун,прочее,C,ООО «ОЛМИКС»,5167746469831,02.07.2020,01.07.2030,Действует,0,
002-11-4079-1,Агростимул,стимулятор / жидкое комплексное,ЛС,"ООО ""АГРУСХИМ""",1057747562509,22.05.2023,бессрочно,Действует,7,Агростимул Зерновые | Агростимул Кукуруза | Агростимул Крестоцветные | Агростимул Свекла | Агростимул Масличные | Агростимул Бобовые | Агростимул Картофель
002-11-4051-1,Агростимул Микро,микроудобрение,C,"ООО ""АГРУСХИМ""",1057747562509,27.03.2023,бессрочно,Действует,3,Агростимул Бор | Агростимул Цинк | Агростимул Молибден
321-21-4123-1,Агроферт S,прочее,C,АО «ОХК» «УРАЛХИМ»,1077761874024,25.07.2018,24.07.2028,Действует,0,
345-14-4218-1,Агрохимикат Грунт питательный ФЕРТИКА,грунт / субстрат,ЛС,АО «Фертика»,1097746681317,18.10.2023,17.10.2033,Действует,22,"Универсальный | Универсальный люкс | Для декоративно-лиственных | Для деревьев и кустарников | Для газона | Для рассады | Для овощей | Для томатов, перцев, баклажанов | Для огурцов, кабачков, тыкв | Цветочный | Для роз и пионов | Для садовых цветов | Для луковичных | Для пальм и фикусов | Для хвойных и вечнозеленых | Для рододендронов, азалий, гортензий | Для садовой голубики и черники | Для цитрусовых | Для кактусов и суккулентов | для орхидей | Для фиалок | Грунт «Черный»"
688-12-3099-1,Агрохимикат для повышения плодородия почвы (дефекат),кальциевое / известкование,ЛС,ЗАО «ГРЯЗИНСКИЙ САХАРНЫЙ ЗАВОД»,1024800522482,09.04.2021,08.04.2031,Действует,0,
371-21-3387-1,Адоб Fe7 ХБЕД,прочее,ЛС,Производственно – Консультационное Предприятие «АДОБ»,,26.11.2020,25.11.2030,Действует,0,
371-11-3385-1,Адоб Фолиар,комплексное NPK,C,Производственно – Консультационное Предприятие «АДОБ»,,30.08.2019,29.08.2029,Действует,4,Адоб Фолиар NPK 6-15-38 + МЕ | Адоб Фолиар NPK 10-40-8 + 1 MgO + МЕ | Адоб Фолиар NPK 19-19-19 + 1 MgO + МЕ | Адоб Фолиар NPK + MgO + S + МЕ
018-19-4241-1,Азафок,прочее,ЛС,"АО ""ЩЕЛКОВО АГРОХИМ""",1025006519427,27.10.2023,26.10.2033,Действует,0,
371-11-3386-1,Азосол,комплексное NPK,C,Производственно – Консультационное Предприятие «АДОБ»,,31.01.2019,30.01.2029,Действует,5,Азосол 34 | Азосол 12-4-6 | Азосол 36 Экстра | Азосол 12-4-6 + S | Азосол 6-12-6
242-19-820-1,Азофикс,прочее,C,ООО «Инвиво»,1082323000495,23.10.2015,22.10.2025,Не действует,0,
397-19-1260-1,Азофит,прочее,ЛС,ООО «ФИТАПРОМ»,1025404725224,03.04.2017,02.04.2027,Действует,0,
321-10-1353-1,Азофоска,комплексное NPK,ЛС,АО «ОХК» «УРАЛХИМ»,1077761874024,26.01.2017,25.01.2027,Действует,1,NPKS 27-6-6-2
321-10-1625-1,Азофоска,комплексное NPK,ЛС,АО «ОХК» «УРАЛХИМ»,1077761874024,21.11.2017,20.11.2027,Действует,9,"NPK 16-0,1-6 | NPK 17-0,1-28 | NPK 17-1-28 | NPK 18-4-18 | NPK 19-4-19 | NPK 20-0,1-20 | NPK 20-1-20 | NPK 21-0,1-21 | NPK 21-1-21"
211-10-1263-1,Азофоска (нитроаммофоска),комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,31.10.2016,30.10.2026,Действует,2,NPK (МОР) 15:15:15 | NPK (МОР) 20:10:10
211-10-1264-1,Азофоска (нитроаммофоска),комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,31.10.2016,30.10.2026,Действует,5,NPKS (МОР) 19:16:8:3 | NPKS (МОР) 18:6:18:2+Mg | NPKS (МОР) 22:20:0:2 | NPKS (МОР) 22:18:0:4 | NPKS (MOP) 22:15:0:7
211-10-1678-1,Азофоска (нитроаммофоска),комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,29.12.2017,28.12.2027,Действует,4,NPK (МОР) 16:16:16 | NPK (МОР) 22:11:11 | NPK (МОР) 23:22:0 | NPK (МОР) 25:9:9
211-10-2317-1,Азофоска (нитроаммофоска),комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,18.07.2019,17.07.2029,Действует,1,NPK (МОР) 20:20:0
211-10-2933-1,Азофоска (нитроаммофоска),комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,17.12.2020,16.12.2030,Действует,1,NPK 19-9-19
211-10-3353-1,Азофоска (нитроаммофоска),комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,25.10.2021,24.10.2031,Действует,1,NPK 17-10-20
211-10-3645-1,Азофоска (нитроаммофоска),комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,20.04.2022,бессрочно,Действует,12,NPK 17-14-14+5SО3 | NPK 18-6-18+4SО3+2MgО | NPK 19-16-8+7SО3 | NPK 20-10-10+7SО3 | NP 22-15+17SО3 | NP 22-18+9SО3 | NP 22-20+4SО3 | NPK 23-10-5+4SО3+3MgО | NPK 23-10-5+7SО3+2MgО+0.3Zn | NPK 18-6-18+5SО3+2MgО | NP 22-20+5SО3 | NPK 23-10-5+5SО3+3MgО
211-10-3678-1,Азофоска (нитроаммофоска),комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,11.05.2022,бессрочно,Действует,14,NPK 15-15-15 | NPK 16-8-16 | NPK 16-13-14 | NPK 16-16-8 | NPK 16-16-16 | NPK 17-10-20 | NPK 18-8-15 | NPK 18-9-20 | NPK 20-10-10 | NP 20-20 | NPK 22-11-11 | NP 23-22 | NPK 25-9-9 | NP 22-20
211-10-3826-1,Азофоска (нитроаммофоска),комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,17.10.2022,бессрочно,Действует,2,NPK 17-17-17 | NP 23-23
211-11-2270-1,Азофоска (нитроаммофоска),комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,10.06.2019,09.06.2029,Действует,1,NPKS (МОР) 23:10:5:2+Mg
211-11-4347-1,Азофоска (нитроаммофоска),комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,27.12.2023,бессрочно,Действует,3,NPK 21-10-5+ 14SO3+1Zn | NP 22-20+5SO3+2CaO +0.2Zn | NPK 23-9-6+7SO3+2Ca O+ 2MgO+0.1B
325-10-2345-1,Азофоска (нитроаммофоска),комплексное NPK,ЛС,ПАО «Дорогобуж»,1026700535773,14.08.2019,13.08.2029,Действует,1,NPK (MOP) 15:15:15
325-10-3695-1,Азофоска (нитроаммофоска),комплексное NPK,ЛС,ПАО «Дорогобуж»,1026700535773,25.05.2022,бессрочно,Действует,3,NPK 19-9-19 | NPK 20-10-10 | NP 20-20
325-10-4286-1,Азофоска (нитроаммофоска),комплексное NPK,ЛС,ПАО «Дорогобуж»,1026700535773,04.12.2023,бессрочно,Действует,12,"NPK 17-14-14+5SO3 | NPK 18-6-18+4SO3+2MgO | NPK 18-6-18+5SO3+2MgO | NPK 19-16-8+7SO3 | NPK 20-10-10+7SO3 | NP 22-15+17SO3 | NP 22-18+9SO3 | NP 22-20+4SO3 | NP 22-20+5SO3 | NPK 23-10-5+4SO3+3MgO | NPK 23-10-5+5SO3+3MgO | NPK 23-10-5 +7SO3+2MgO+0,3 Zn"
325-10-4693-1,Азофоска (нитроаммофоска),комплексное NPK,ЛС,ПАО «Дорогобуж»,1026700535773,14.10.2024,бессрочно,Действует,5,NPK 16-16-16 | NPK 22-11-11 | NP 23-22 | NPК 25-9-9 | NPK 25-9-9
211-10-9737-1,Азофоска (нитроаммофоска) NPK 18-9-18,комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,19.12.2025,бессрочно,Действует,1,NPK 18-9-18
211-10-9987-1,"Азофоска (нитроаммофоска) NPK 20-12-12,NPK 18-6-20",комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,29.05.2026,бессрочно,Действует,2,NPK 18-6-20 | NPK 20-12-12
211-10-3354-1,Азофоска (нитроаммофоска) бесхлорная,комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,25.10.2021,24.10.2031,Действует,3,NPK (SOP) 15-15-15 | NPK (SOP) 17-8-18 | NPK (SOP) 20-10-10
211-10-3355-1,Азофоска (нитроаммофоска) с кальцием,комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,25.10.2021,24.10.2031,Действует,4,NPK 16-16-16+4CaO | NPK 16-16-16+5CaO | NPK 20-10-10+6CaO | NP 20-20+8CaO
325-10-3429-1,Азофоска (нитроаммофоска) с кальцием,комплексное NPK,ЛС,ПАО «Дорогобуж»,1026700535773,13.12.2021,12.12.2031,Действует,4,NPK 16-16-16+4CaO | NPK 16-16-16+5CaO | NPK 20-10-10+6CaO | NP 20-20+8CaO
325-10-769-1,Азофоска (нитроаммофоска)NPK (МОР),комплексное NPK,ЛС,ПАО «Дорогобуж»,1026700535773,07.09.2015,06.09.2025,Не действует,4,16:16:16 | 22:11:11 | 23:22:0 | 25:9:9
211-10-927-1,Азофоска бесхлорная,комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,25.12.2015,24.12.2025,Не действует,1,NPK (SOP) 15:15:15
211-10-4152-1,Азофоска(нитроаммофоска),комплексное NPK,ЛС,ПАО «Акрон»,1025300786610,07.07.2023,бессрочно,Действует,1,NPK 20-8-16
239-13-1041-1,Акадиан Жидкий Концентрат Морских Водорослей,стимулятор / жидкое комплексное,ЛС,АКАДИАН СИПЛАНТС ЛИМИТЕД,,16.03.2016,15.03.2026,Не действует,0,
472-19-1834-1,Аква,прочее,C,Фрагария срл,,14.03.2018,13.03.2028,Действует,0,
522-11-9870-1,Аквалит Бор-Молибден,микроудобрение,C,ООО «ОРГПОЛИМЕРСИНТЕЗ СПб»,1037821071551,26.03.2026,бессрочно,Действует,6,Калий | Кальций | Бор | Бор-Молибден | Сера | Цинк
622-10-2716-1,Акео,прочее,C,ООО «ОЛМИКС»,5167746469831,29.06.2020,28.06.2030,Действует,0,
1016-19-10112-1,Алтасол,прочее,C,"ООО ""АЛТБИОТЕХ""",1152225011586,02.09.2026,01.09.2036,Действует,0,
081-20-10122-1,Альбит-БР,прочее,ЛС,ООО НПФ «Альбит»,1025007774285,18.09.2026,17.09.2036,Действует,0,
940-13-4626-1,Альфа,биоудобрение,ЛС,ООО АГРОБИЗНЕС,1172375022940,02.07.2024,01.07.2034,Действует,8,Старт | Биостим | Биг | Финиш | Аминостарт | Аминобиостим | Аминобиг | Аминофиниш
062-11-814-1,Альфа Гроу,микроудобрение,C,ООО «АЛЬФАХИМГРУПП»,,23.10.2015,22.10.2025,Не действует,9,Кукуруза | Бобовые | Зерновые | Масличные | Цинк | Марганец | Бор | Медь | Молибден
666-20-3005-1,Амалгерол Эссенс,прочее,ЛС,Хехенбихлер ГмбХ,,08.02.2021,07.02.2031,Действует,0,
082-21-4730-1,Амикабор,микроудобрение,C,"ООО ""ИНТЕР ГРУПП""",1084312000420,26.11.2024,25.11.2034,Действует,0,
082-10-9620-1,Амикасера,прочее,C,"ООО ""ИНТЕР ГРУПП""",1084312000420,07.10.2025,07.10.2035,Действует,0,
113-13-3396-1,Амино Плюс,микроудобрение,ЛС,АО «АГРИМАТКО»,1027700272016,06.12.2021,05.12.2031,Действует,3,Амино Zn | Амино Mn | ФолиБуст
634-13-3063-1,АминоКвелант,микроудобрение,ЛС,«АВЕНТРО» Сарл,,18.03.2021,17.03.2031,Действует,11,АминоКвелант – В | АминоКвелант – Са | АминоКвелант – Ca/Mg | АминоКвелант – Cu | АминоКвелант – Fe | АминоКвелант – K низкий рН | АминоКвелант – Mg | АминоКвелант – майнорс | АминоКвелант – Mn | АминоКвелант – Zn | АминоКвелант – Zn/Mn
956-13-4772-1,Аминовит Вигорион,прочее,ЛС,Фертинагро Биотек Интернейшнл СЛЮ,,10.01.2025,09.01.2035,Действует,0,
229-20-4274-1,Аминозол,прочее,ЛС,ООО «Лебозол Восток»,1127746259541,30.11.2023,29.11.2033,Действует,0,
399-13-2805-1,Аминокат,прочее,ЛС,Атлантика Агрикола С.А.,,16.09.2020,15.09.2030,Действует,2,Аминокат 10 | Аминокат 30
390-13-1226-1,Аминоким,микроудобрение,ЛС,Агропромышленная компания Кимитек С.Л.,,07.09.2016,06.09.2026,Не действует,5,Бомбардир | Бомбардир Протеин | Каос ХТ | Разер | Магноцинк Плюс
836-20-3819-1,Аминокислотный комплекс ВитаАмин,прочее,ЛС,ООО «СЕМИРАМИДА»,1187746284307,07.10.2022,06.10.2032,Действует,0,
920-20-4313-1,Аминокислотный комплекс ЦитоАмин,прочее,ЛС,ООО «АГРОТАНДЕМ»,,11.12.2023,10.12.2033,Действует,0,
301-13-699-1,Аминомакс,кальциевое / известкование,ЛС,"Кемикас Меристем, С.Л.",,15.07.2015,14.07.2025,Не действует,5,10 | 30 | Кальций | Органик | Овощной
587-13-2461-1,Аминотал,микроудобрение,C,Франсиско Р.Артал С.Л.,,08.11.2019,07.11.2029,Действует,8,Бор | Семена | Зерновой | К45 | К-плюс | Микс | Цинк | Корневой
247-13-427-1,Аминофол,микроудобрение,ЛС,ООО «АгроМастер»,1102308006877,13.10.2014,12.10.2024,Не действует,8,Аминофол Cu | Аминофол Fe | Аминофол Mg | Аминофол Mn | Аминофол Mo | Аминофол Zn | Аминофол NPK | Аминофол Плюс
247-13-4705-1,Аминофол,микроудобрение,ЛС,ООО «АгроМастер»,1102308006877,05.11.2024,04.11.2034,Действует,1,Аминофол Cu
113-10-4778-1,Амко,комплексное NPK,ЛС,АО «АГРИМАТКО»,1027700272016,20.01.2025,бессрочно,Действует,1,"Универсал, Рост, Урожай"
113-11-4865-1,Амко,прочее,ЛС,АО «АГРИМАТКО»,1027700272016,14.05.2025,бессрочно,Действует,0,
113-11-3476-1,Амко картофель 14-25-13,комплексное NPK,ЛС,АО «АГРИМАТКО»,1027700272016,17.01.2022,16.01.2032,Действует,0,
180-10-735-1,Аммиак безводный сжиженный,прочее,C,АО «Новомосковская акционерная компания «Азот»,1027100507378,30.07.2015,29.07.2025,Не действует,1,Б
180-15-4961-1,Аммиак безводный сжиженный,прочее,C,АО «НАК «Азот»,,29.07.2025,бессрочно,Действует,1,Б
188-15-2035-1,Аммиак безводный сжиженный,прочее,C,ОАО «КуйбышевАзот»,,30.10.2018,29.10.2028,Действует,2,А к | Б
302-15-4970-1,Аммиак безводный сжиженный,прочее,C,"АО ""МИНУДОБРЕНИЯ""",1023601231840,05.08.2025,бессрочно,Действует,2,Б | Ак
321-15-3770-1,Аммиак безводный сжиженный,прочее,C,АО «ОХК» «УРАЛХИМ»,1077761874024,26.07.2022,бессрочно,Действует,2,Ак | Б
325-15-4814-1,Аммиак безводный сжиженный,прочее,C,ПАО «Дорогобуж»,1026700535773,26.02.2025,бессрочно,Действует,2,Ак | Б
362-15-3470-1,Аммиак безводный сжиженный,прочее,C,АО «АММОНИЙ»,1061674035257,13.01.2022,12.01.2032,Действует,2,Ак | Б
413-15-2402-1,Аммиак безводный сжиженный,прочее,C,АО «Щекиноазот»,1027100507015,18.09.2019,17.09.2029,Действует,2,Ак | Б
444-11-1714-1,Аммиак безводный сжиженный,прочее,C,ООО «ГАЗПРОМ НЕФТЕХИМ САЛАВАТ»,1160280116138,01.02.2018,31.01.2028,Действует,1,Б
498-15-4382-1,Аммиак безводный сжиженный,прочее,C,АО «ТОЛЬЯТТИАЗОТ»,1026302004409,15.02.2024,бессрочно,Действует,2,Ак | Б
