regulation_id,reg_no,product,brand,use,norm,crop_raw,method,page
47,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Микробаланс,C,2-4 л/га,"Овощные, цветочно-декоративные культуры",Корневая подкормка растений через 7-10 дней после посадки (или появления всходов) и далее 2-3 раза с интервалом 10-15 дней. Расход рабочего раствора – в зависимости от нормы полива,50
48,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Комплекс+S,C,3-5 л/га,Зерновые культуры (озимые),"Некорневая подкормка растений в фазе 5-6 листьев (осенью), в фазе кущения-начал о выхода в трубку и в фазе флаговый лист. Расход рабочего раствора – 200-300 л/га",50
49,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Комплекс+S,C,4-5 л/га,Свекла сахарная,Некорневая подкормка растений в фазе 4-8 листьев и перед смыканием рядков. Расход рабочего раствора – 200-300 л/га,50
50,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Комплекс+S,C,3-5 л/га,Картофель,"Некорневая подкормка в фазе полных всходов, в фазе бутонизации и после цветения. Расход рабочего раствора – 200-300 л/га",50
51,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Комплекс+S,C,3-5 л/га,Масличные культуры,Некорневая подкормка растений до наступленияфазы цветения 1-3 раза с интервалом 10-15 дней. Расход рабочего раствора – 200-300 л/га,50
52,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Комплекс+S,C,2-5 л/га,Овощные культуры,Некорневая подкормка растений в период формирования плодов 1-2 раза с интервалом 10-15 дней. Расход рабочего раствора – 400-600 л/га,50
53,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Комплекс+S,C,3-5 л/га,Подсолнечник,Некорневая подкормка растений в фазе 2-3 листьев и в фазе 5-7 листьев. Расход рабочего раствора – 200-300 л/га,51
54,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Комплекс,C,3-4 л/га,Зернобобовые культуры,Некорневая подкормка растений до наступленияфазы цветения 1-3 раза с интервалом 10-15 дней. Расход рабочего раствора – 400-600 л/га,51
55,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Комплекс,C,3-5 л/га,Технические культуры,Некорневая подкормка растений до наступленияфазы цветения 1-3 раза с интервалом 10-15 дней. Расход рабочего раствора – 200-300 л/га,51
56,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Комплекс,C,3-5 л/га,Плодово-ягодные культуры,Некорневая подкормка растений в течение вегетационного периода 1-3 раза с интервалом 10-15 дней. Расход рабочего раствора – 1500 л/га,51
57,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Комплекс,C,2-5 л/га,Овощные культуры,Некорневая подкормка растений в течение вегетационного периода 1-3 раза с интервалом 10-15 дней. Расход рабочего раствора – 400-600 л/га,51
58,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,36,C,3-6 л/га,Зерновые культуры,Некорневая подкормка растений в фазе кущения-выход в трубку и в фазе флаговыйлист. Расход рабочего раствора – 200-300 л/га,51
59,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,36,C,4-5 л/га,Свекла сахарная,Некорневая подкормка растений в фазе 3-4 листьев и перед смыканием рядков. Расход рабочего раствора – 200-300 л/га,51
60,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,36,C,3-6 л/га,"Картофель, масличные культуры",Некорневая подкормка растений в течение вегетационного периода 1-3 раза с интервалом 10-15 дней. Расход рабочего раствора – 200-300 л/га,52
61,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,36,C,3-6 л/га,Подсолнечник,Некорневая подкормка растений до наступленияфазы цветения 1-3 раза с интервалом 10-15 дней. Расход рабочего раствора – 200-300 л/га,52
62,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,36,C,3-5 л/га,Зернобобовые культуры,Некорневая подкормка растений до наступленияфазы цветения 1-3 раза с интервалом 10-15 дней. Расход рабочего раствора – 200-300 л/га,52
63,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,36,C,2-5 л/га,Овощные культуры,Некорневая подкормка растений в течение вегетационного периода 1-3 раза с интервалом 10-15 дней. Расход рабочего раствора – 400-600 л/га,52
64,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,36,C,"1,5-5 л/га","Плодово-ягодные культуры, виноград",Некорневая подкормка растений до наступленияфазы цветения 1-2 раза с интервалом 10-15 дней. Расход рабочего раствора – 1500 л/га,52
65,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mn,C,"0,5-1,5 л/га",Зерновые культуры (озимые),Некорневая подкормка растений в фазе 2-3 листьев (осенью) и в начале фазы кущения (весной). Расход рабочего раствора -50-300 л/га,52
66,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mn,C,"0,5-1,5 л/га",Свекла сахарная,Некорневая подкормка растений в фазе 4-8 листьев и далее 1-2 раза с интервалом 15-20 дней. Расход рабочего раствора -50-300 л/га,53
67,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mn,C,"2,5-3 л/га","Кукуруза (на зерно, на силос)",Некорневая подкормка растений в фазе 4-6 листьев и далее 1-2 раза с интервалом 7 дней. Расход рабочего раствора -50-300 л/га,53
68,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mn,C,2 л/га,Технические культуры,Некорневая подкормка растений в период нарастания вегетативной массы 1-2 раза с интервалом 7-10 дней. Расход рабочего раствора -50-300 л/га,53
69,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mn,C,1-3 л/га,Картофель,Некорневая подкормка растений в период цветения-начал о клубнеобразования 1-2 раза с интервалом 7-10 дней. Расход рабочего раствора -50-300 л/га,53
70,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mn,C,"0,5-1,5 л/га",Зернобобовые культуры,Некорневая подкормка растений до наступленияфазы цветения 1-2 раза с интервалом 7-10 дней. Расход рабочего раствора -50-300 л/га,53
71,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mn,C,"0,5-2 л/га",Овощные культуры,Некорневая подкормка растений в период образования и роста плодов 2-3 раза с интервалом 7-10 дней. Расход д рабочего раствора -50-300 л/га,53
72,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mn,C,"0,5-2 л/га",Плодово-ягодные культуры,Некорневая подкормка растений в период образования и роста плодов 2-3 раза с интервалом 7-10 дней. Расход рабочего раствора – 300-1000 л/га,54
73,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mn,C,3-6 л/га,Все культуры,Корневая подкормка растений (внесение с поливными водами) в течение вегетационного периода 3-5 раз с интервалом 10-15 дней. Расход рабочего раствора – в зависимости от нормы полива,54
74,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mn,C,10-30 л/га,Все культуры,Корневая подкормка растений (внесение с поливными водами) в течение вегетационного периода (однократно). Расход рабочего раствора – в зависимости от нормы полива,54
75,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Fe,C,"0,5-1,5 л/га",Зерновые культуры,Некорневая подкормка растений в течение вегетационного периода (с момента появления признаков хлороза) 2-3 раза с интервалом 7-10 дней. Расход рабочего раствора -50-300 л/га,54
76,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Fe,C,"0,5-1,5 л/га",Свекла сахарная,Некорневая подкормка растений в фазе 4-8 листьев и далее 1-2 раза с интервалом 15-20 дней. Расход рабочего раствора -50-300 л/га,54
77,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Fe,C,"2,5-3 л/га","Кукуруза (на зерно, на силос)",Некорневая подкормка растений в фазе 4-6 листьев и далее 1-2 раза с интервалом 7 дней. Расход рабочего раствора -50-300 л/га,54
78,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Fe,C,2 л/га,Технические культуры,Некорневая подкормка растений в период нарастания вегетативной массы 1-2 раза с интервалом 7-10 дней. Расход рабочего раствора -50-300 л/га,55
79,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Fe,C,1-3 л/га,Картофель,Некорневая подкормка растений в период цветения -начало клубнеобразования 1-3 раза с интервалом 7-10 дней. Расход рабочего раствора -50-300 л/га,55
80,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Fe,C,"0,5-1,5 л/га",Зернобобовые культуры,Некорневая подкормка растений до наступленияфазы цветения 1-3 раза с интервалом 7-15 дней. Расход рабочего раствора -50-300 л/га,55
81,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Fe,C,"0,5-2 л/га",Овощные культуры,Некорневая подкормка растений в период образования и роста плодов 2-3 раза с интервалом 7-15 дней. Расход рабочего раствора -50-300 л/га,55
82,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Fe,C,"0,5-2 л/га",Плодово-ягодные культуры,Некорневая подкормка растений в период образования и роста плодов 2-3 раза с интервалом 7-15 дней. Расход рабочего раствора – 300-1000 л/га,55
83,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Fe,C,3-6 л/га,Все культуры,Корневая подкормка растений (внесение с поливными водами) в течение вегетационного периода 3-5 раз с интервалом 10-15 дней. Расход рабочего раствора – в зависимости от нормы полива,55
84,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Fe,C,10-30 л/га,Все культуры,Корневая подкормка растений (внесение с поливными водами) в течение вегетационного периода (однократно). Расход рабочего раствора – в зависимости от нормы полива,56
85,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mo,C,"0,7-1,2 л/га",Зерновые культуры,Некорневая подкормка растений в фазе 2-3 листьев. Расход рабочего раствора -50-300 л/га,56
86,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mo,C,"0,7-1,2 л/га",Зернобобовые культуры,Некорневая подкормка растений через 3-4 недели после всходов и в фазе бутонизации. Расход рабочего раствора -50-300 л/га,56
87,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mo,C,"0,5-1 л/га",Рапс яровой,"Некорневая подкормка растений в фазе 4-6 листьев, в фазе стеблевания и в фазе бутонизации. Расход рабочего раствора -50-300 л/га",56
88,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mo,C,"0,5-1 л/га",Рапс озимый,"Некорневая подкормка растений в фазе 4-6 листьев (осенью), в начале возобновления вегетации, в фазе стеблевания и в фазе бутонизации. Расход рабочего раствора -50-300 л/га",56
89,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mo,C,"0,5-1 л/га",Плодово-ягодные культуры,Некорневая подкормка растений весной в начале возобновления вегетации и в период формирования завязи. Расход рабочего раствора -50-300 л/га,56
90,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mo,C,3-6 л/га,Все культуры,Корневая подкормка растений (внесение с поливными водами) в течение вегетационного периода 3-5 раз с интервалом 10-15 дней. Расход рабочего раствора – в зависимости от нормы полива,57
91,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Mo,C,10-30 л/га,Все культуры,Корневая подкормка растений (внесение с поливными водами) в течение вегетационного периода (однократно). Расход рабочего раствора – в зависимости от нормы полива,57
92,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,B,C,"0,5-1,5 л/га",Зерновые культуры,Некорневая подкормка растений в течение вегетационного периода 1-2 раза с интервалом 7-15 дней. Расход рабочего раствора -50-300 л/га,57
93,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,B,C,"0,5-1,5 л/га",Свекла сахарная,Некорневая подкормка растений в фазе 4-8 листьев и далее 1-2 раза с интервалом 15-20 дней. Расход рабочего раствора -50-300 л/га,57
94,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,B,C,"2,5-3 л/га","Кукуруза (на зерно, на силос)",Некорневая подкормка растений в фазе 4-6 листьев и далее 1-2 раза с интервалом 7 дней. Расход рабочего раствора 50-300 л/га,57
95,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,B,C,"0,5-1,5 л/га",Рапс яровой,Некорневая подкормка растений в фазе 4-6 листьев и в фазе бутонизации. Расход рабочего раствора -50-300 л/га,57
96,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,B,C,"0,5-1,5 л/га",Рапс озимый,Некорневая подкормка растений в фазе 4-6 листьев (осенью) и в фазе бутонизации. Расход рабочего раствора -50-300 л/га,58
97,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,B,C,1-3 л/га,Картофель,Некорневая подкормка растений в фазе полных всходов и далее 1-2 раза с интервалом 7 дней. Расход рабочего раствора – 50-300 л/га,58
98,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,B,C,"0,5-1,5 л/га",Зернобобовые культуры,Некорневая подкормка растений до наступленияфазы цветения 2-3 раза с интервалом 7-15 дней. Расход рабочего раствора – 50-300 л/га,58
99,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,B,C,"0,5-1,5 л/га",Подсолнечник,Некорневая подкормка растений до наступленияфазы цветения 1-2 раза с интервалом 7-15 дней. Расход рабочего раствора – 50-300 л/га,58
100,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,B,C,3-6 л/га,Все культуры,Корневая подкормка растений (внесение с поливными водами) в течение вегетационного периода 3-5 раз с интервалом 10-15 дней. Расход рабочего раствора – в зависимости от нормы полива,58
101,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,B,C,10-30 л/га,Все культуры,Корневая подкормка растений (внесение с поливными водами) в течение вегетационного периода (однократно). Расход рабочего раствора – в зависимости от нормы полива,58
102,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Вегета,Л,100 мл/10 л воды,"Овощные, бахчевые культуры, картофель",Корневая подкормка растений в течение вегетационного периода 3-6 раз с интервалом 10-15 дней. Расход рабочего раствора – 10 л/3-5 м2,59
103,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Вегета,Л,10 мл/л воды,"Овощные, бахчевые культуры, картофель",Некорневая подкормка растений через 20-25 дней после появления всходов и далее 2-3 раза с интервалом 15-20 дней. Расход рабочего раствора – 1 л/30 м2,59
104,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Форвард,Л,10 мл/л воды,"Огурец, кабачок, дыня (рассада)","Некорневая подкормка растений 3-4 раза с интервалом 7-10 дней. Расход рабочего раствора – до смачивания поверхности листьев (1-1,5 л/10 м2)",59
105,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Форвард,Л,10 мл/л воды,"Томат, баклажан, перец, цветочно-декоративные культуры (рассада)","Некорневая подкормка растений 4-5 раз с интервалом 7-10 дней. Расход рабочего раствора – до смачивания поверхности листьев (1-1,5 л/10 м2)",59
106,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Форвард,Л,10 мл/л воды,"Овощные, цветочно-декоративные культуры (рассада)",Корневая подкормка растений 1-2 раза с интервалом 7-10 дней. Расход рабочего раствора – доувлажнения земляного кома (10 л/3-5 м2),59
107,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Фантазия,Л,20 мл/л воды,Цветочно-декоративные культуры (горшечные),"Корневая подкормка растений в период с марта по сентябрь – с интервалом 10-15 дней, с октября по февраль – с интервалом 15-20 дней. Расход рабочего раствора – до увлажнения земляного кома",59
108,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Фантазия,Л,25 мл/л воды,Цветочно-декоративные культуры (горшечные),Некорневая подкормка растений в период активного роста с интервалом 25-30 дней. Расход рабочего раствора – до смачивания поверхности листьев,60
109,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для декоративно-лиственных растений,Л,10 мл/л воды,Декоративно-лиственные культуры (горшечные),Корневая подкормка растений в период активного роста с интервалом 7-10 дней. Расход рабочего раствора – до увлажнения земляного кома,60
110,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для декоративно-лиственных растений,Л,5 мл/л воды,Декоративно-лиственные культуры (горшечные),Некорневая подкормка растений в период активного роста с интервалом 10-14 дней. Расход рабочего раствора – до смачивания поверхности листьев,60
111,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для кактусов и суккулентов,Л,5 мл/л воды,"Кактусы, суккуленты (горшечные)",Корневая подкормка растений в период активного роста с интервалом 7-10 дней. Расход рабочего раствора – до увлажнения земляного кома,60
112,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для кактусов и суккулентов,Л,5 мл/2 л воды,"Кактусы, суккуленты (горшечные)",Некорневая подкормка растений в период активного роста с интервалом с интервалом 10-14 дней. Расход рабочего раствора – до смачивания поверхности листьев,60
113,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для комнатных и балконных растений,Л,10 мл/л воды,Цветочно-декоративные культуры (горшечные),Корневая подкормка растений в период активного роста с интервалом 7-10 дней. Расход рабочего раствора – до увлажнения земляного кома,60
114,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для комнатных и балконных растений,Л,5 мл/л воды,Цветочно-декоративные культуры (горшечные),Некорневая подкормка растений в период активного роста с интервалом 10-14 дней. Расход рабочего раствора – до смачивания поверхности листьев,61
115,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для пальм,Л,5 мл/л воды,"Пальмы, драцены, агавы (горшечные)",Корневая подкормка растений в период активного роста с интервалом 7-10 дней. Расход рабочего раствора – до увлажнения земляного кома,61
116,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для пальм,Л,5 мл/2 л воды,"Пальмы, драцены, агавы (горшечные)",Некорневая подкормка растений в период активного роста с интервалом с интервалом 10-14 дней. 5 мл/2 л воды¶Расход рабочего раствора – до смачивания поверхности листьев,61
117,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для фикусов,Л,5 мл/л воды,Фикусы (горшечные),Корневая подкормка растений в период активного роста с интервалом 7-10 дней. Расход рабочего раствора – до увлажнения земляного кома,61
118,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для фикусов,Л,5 мл/2 л воды,Фикусы (горшечные),Некорневая подкормка растений в период активного роста с интервалом с интервалом 10-14 дней. Расход рабочего раствора – до смачивания поверхности листьев,61
119,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для орхидей,Л,10 мл/л воды,Орхидеи (горшечные),Корневая подкормка растений в период активного роста с интервалом 7-10 дней. Расход рабочего раствора – до увлажнения субстрата,62
120,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для орхидей,Л,5 мл/л воды,Орхидеи (горшечные),Некорневая подкормка растений в период активного роста с интервалом 10-14 дней. Расход рабочего раствора – до смачивания поверхности листьев,62
121,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для цветущих растений,Л,10 мл/л воды,Цветочно-декоративные культуры (горшечные),Корневая подкормка растений в период активного роста с интервалом 7-10 дней. Расход рабочего раствора – до увлажнения земляного кома,62
122,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для цветущих растений,Л,5 мл/л воды,Цветочно-декоративные культуры (горшечные),Некорневая подкормка растений в период активного роста с интервалом с интервалом 10-14 дней. Расход рабочего раствора – до смачивания поверхности листьев,62
123,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для цветущих растений,Л,10 мл/л воды,Цветочно-декоративные культуры (однолетние),Корневая подкормка растений в течение вегетационного периода с интервалом 7-10 дней. Расход рабочего раствора 1-3 л/м2,62
124,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для цветущих растений,Л,5 мл/л воды,Цветочно-декоративные культуры (однолетние),Некорневая подкормка растений в течение вегетационного периода с интервалом 10-14 дней. Расход рабочего раствора – 3 л/100 м2,62
125,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для цветущих растений,Л,10 мл/л воды,Цветочно-декоративные культуры (многолетние),Корневая подкормка растений в течение вегетационного периода 3-4 раза с интервалом 7-10 дней. Расход рабочего раствора - 1-3 л/м2,63
126,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для цветущих растений,Л,5 мл/л воды,Цветочно-декоративные культуры (многолетние),Некорневая подкормка растений в течение вегетационного периода 3-4 раза с интервалом 10-14 дней. Расход рабочего раствора – 3 л/100 м2,63
127,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,От пожелтения листьев,Л,5 мл/л воды,"Овощные, цветочно-декоративные культуры, земляника, картофель",Корневая подкормка растений в течение вегетационного периода 3-4 раза с интервалом 7-10 дней. Расход рабочего раствора - 1-3 л/ м2,63
128,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,От пожелтения листьев,Л,5 мл/2 л воды,"Овощные, цветочно-декоративные культуры, земляника, картофель",Некорневая подкормка растений в течение вегетационного периода 3-4 раза с интервалом 10-14 дней. Расход рабочего раствора – 3 л/100 м2,63
129,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,От пожелтения листьев,Л,5 мл/л воды,Плодово-ягодные культуры,Корневая подкормка растений в течение вегетационного периода 3-4 раза с интервалом 7-10 дней. Расход рабочего раствора - 1-10 л/дерево,63
130,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,От пожелтения листьев,Л,5 мл/2 л воды,Плодово-ягодные культуры,"Некорневая подкормка растений в течение вегетационного периода 3-4 раза с интервалом 10-14 дней. Расход рабочего раствора – 1,5-3 л/дерево",63
131,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для роз,Л,10 мл/л воды,Роза (горшечные),Корневая подкормка растений в период активного роста с интервалом 7-10 дней. Расход рабочего раствора – до увлажнения земляного кома,64
132,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для роз,Л,5 мл/л воды,Роза (горшечные),Некорневая подкормка растений в период активного роста с интервалом с интервалом 10-14 дней. Расход рабочего раствора – до смачивания поверхности листьев,64
133,046-10-9965-1,Агрикола - аква универсальное комплексное удобрение Mn,Для роз,Л,10 мл/л воды,Роза (открытый и защищенный грунт),Корневая подкормка растений в течение вегетационного периода 3-4 раза с интервалом 7-10 дней. Расход рабочего раствора - 1-3 л/м2,64
