reg_no,name,slug,form,conc,klass,registrant,ogrn,hazard_human,hazard_bees,reg_date,reg_until,status,has_lph
038(010)-03-2940-1,Авантикс Экстра,avantiks-ekstra,ЭМВ,"69 г/л феноксапроп-П-этил + 34,5 г/л антидот -клоквинтосет-мексил",гербицид,"ООО «АГРОКОМ», ООО «ЛИСТЕРРА»","1077758212685, 1057749556930",III,III,17.12.2020,16.12.2030,Действует,0
010-02-10060-0,Авантюрин,avantyurin,ВДГ,500 г/кг Флудиоксонил,фунгицид,"ООО ""ЛИСТЕРРА""",1057749556930,III,III,05.08.2026,04.08.2029,Действует,0
010-02-3575-1,Авиаль,avial,КЭ,125 г/л Тебуконазол + 100 г/л Триадимефон,фунгицид,ООО «ЛИСТЕРРА»,1057749556930,II,III,29.03.2022,28.03.2032,Действует,0
018-02-10033-1,Авиньон,avinon,КС,350 г/л Дитианон,фунгицид,"АО ""ЩЕЛКОВО АГРОХИМ""",1025006519427,II,III,02.07.2026,01.07.2036,Действует,0
050(360)-03-4455-1,Аврора,avrora,МД,100 г/л Мезотрион + 80 г/л Амикарбазон + 60 г/л никосульфурон + 5 г/л Аминопиралид,гербицид,"ЗАО «ФМРус», ООО «АГРОХИМИНВЕСТ","1097746208207, 1027743011207",III,III,12.03.2024,11.03.2034,Действует,0
050-03-4562-1,Аврорекс,avroreks,КЭ,"332 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 21 г/л карфентразон-этил",гербицид,+ 21 г/л карфентразон-этил) ЗАО «ФМРус»,1097746208207,II,III,07.05.2024,06.05.2034,Действует,0
471-07-1781-1,Агат-25 Супер,agat-25-super,ТПС,18 мг/кг 3-индолилуксусная кислота + 60 мг/кг -аланин + 70 мг/кг -глутаминовая кислота,регулятор роста,ООО «НЭЛЖ»,1137746504565,IV,III,05.03.2018,04.03.2028,Действует,1
192-01-4742-1,Агент Пауер,agent-pauer,МКС,320 г/л Ацетамиприд,инсектицид,ООО ГК «ЗемлякоФФ»,1037724060560,II,III,03.12.2024,02.12.2034,Действует,0
192-01-3892-1,Агент Супер,agent-super,СК,200 г/л Ацетамиприд + 100 г/л Фипронил,инсектицид,ООО ГК «ЗемлякоФФ»,1037724060560,III,-,01.12.2022,26.12.2025,Действует,0
024-03-2107-1,Агритокс,agritoks,ВК,"500 г/л МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей)",гербицид,Нуфарм ГмбХ & КО КГ,,II,III,14.03.2019,13.03.2029,Действует,0
010(011)-03-1562-1,Агро-Лайт,agro-layt,ВРК,33 г/л Имазамокс + 15 г/л Имазапир,гербицид,"ООО «ЛИСТЕРРА», ПАНАМА АГРОКЕМИКАЛС ИНК.",1057749556930,III,III,10.12.2015,09.12.2025,Не действует,0
010-03-9705-0,Агро-Лайт,agro-layt,ВРК,33 г/л Имазамокс + 15 г/л Имазапир,гербицид,ООО «ЛИСТЕРРА»,1057749556930,III,III,04.12.2025,03.12.2028,Действует,0
010-03-5084-0,"Агро-Лайт, ВК",agro-layt-vk,ВРК,33 г/л Имазамокс + 15 г/л Имазапир,гербицид,ООО «ЛИСТЕРРА»,1057749556930,III,III,28.08.2025,27.08.2028,Действует,0
197-03-3347-1,АгроБазон,agrobazon,ВР,480 г/л Бентазон,гербицид,ООО «Агрохим ХХ1»,5067746338150,III,III,25.10.2021,24.10.2031,Действует,0
197-03-4311-1,АгроЗаряд,agrozaryad,КС,"312,5 г/л Пропизохлор + 187,5 г/л тербутилазин",гербицид,ООО «Агрохим ХХ1»,5067746338150,II,III,12.12.2023,11.12.2033,Действует,0
197-02-4752-0,АгроКлимат,agroklimat,КЭ,250 г/л Дифеноконазол,фунгицид,ООО «Агрохим ХХ1»,5067746338150,II,III,12.12.2024,11.12.2027,Действует,0
197-02-9906-0,АгроМим,agromim,ВДГ,600 г/кг Манкоцеб + 90 г/кг Диметоморф,фунгицид,"ООО ""АГРОХИМ-XXI""",5067746338150,II,III,16.04.2026,15.04.2029,Действует,0
002-07-472-1,АгроСтимул,agrostimul,ВЭ,50 г/л Дигидрокверцетин,регулятор роста,ООО «АГРУСХИМ»,1057747562509,III,III,15.12.2014,14.12.2024,Не действует,1
002-07-4818-0,"АгроСтимул, ВЭ",agrostimul-ve,ВЭ,50 г/л Дигидрокверцетин,регулятор роста,ООО «АГРУСХИМ»,1057747562509,III,III,11.03.2025,10.03.2028,Действует,1
197-02-4740-1,АгроШлем,agroshlem,ВДГ,750 г/кг Ципродинил,фунгицид,ООО «Агрохим ХХ1»,5067746338150,III,III,28.11.2024,27.11.2034,Действует,0
024-03-1052-1,Агроксон,agrokson,ВР,750 г/л МЦПА (диметиламинная соль),гербицид,Нуфарм ГмбХ & КО КГ,,II,III,29.03.2016,28.03.2026,Не действует,0
178-03-2214-1,Агрон,agron,ВР,300 г/л Клопиралид,гербицид,ООО «Агро Эксперт Груп»,1027708006996,III,III,07.05.2019,06.05.2029,Действует,0
178-03-2215-1,Агрон Гранд,agron-grand,ВДГ,750 г/кг Клопиралид,гербицид,ООО «Агро Эксперт Груп»,1027708006996,III,III,07.05.2019,06.05.2029,Действует,0
197-03-1369-1,Агроника,agronika,КС,40 г/л никосульфурон,гербицид,ООО «Агрохим ХХ1»,5067746338150,III,III,16.02.2017,15.02.2027,Действует,0
197-03-2714-1,Агроника Гранд,agronika-grand,МД,70 г/л Мезотрион + 40 г/л никосульфурон,гербицид,ООО «Агрохим ХХ1»,5067746338150,III,III,29.06.2020,28.06.2030,Действует,0
023(395)-03-1277-1,Агростар,agrostar,ВДГ,750 г/кг трибенурон-метил,гербицид,"ООО «АНПП «Агрохим-XXI», Агротекс ДМСС",1027700119710,III,III,05.12.2016,04.12.2026,Действует,0
197(023)-03-2469-1,Агростар Гранд,agrostar-grand,ВДГ,630 г/кг трибенурон-метил + 120 г/кг флорасулам,гербицид,"ООО «Агрохим ХХ1», ООО «АНПП «Агрохим-XXI»","5067746338150, 1027700119710",III,III,13.11.2019,12.11.2029,Действует,0
811-01-3647-1,Агростраж,agrostrazh,П,800 г/кг Диоксид кремния,инсектицид,ООО «ВОРОНЕЖПЕНОСТЕК ЛО»,1133668052627,III,-,22.04.2022,21.04.2032,Действует,0
126-03-3168-1,Агрошанс,agroshans,ВК,"500 г/л МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей)",гербицид,ООО «Шанс»,1093668046812,II,III,01.06.2021,31.05.2031,Действует,0
192-03-10101-0,Адвайзер,advayzer,МСК,800 г/л С-Метолахлора + 56 г/л Изоксафлютол,гербицид,"ООО ГК ""ЗЕМЛЯКОФФ""",1037724060560,II,III,26.08.2026,25.08.2029,Действует,0
192-02-1114-1,Адванс,advans,ВДГ,800 г/кг Флутриафол,фунгицид,ООО ГК «ЗемлякоФФ»,1037724060560,III,III,06.05.2016,05.05.2026,Не действует,0
913-03-4471-1,Адвокат,advokat,ВР,480 г/л Дикамба (диметиламинная соль),гербицид,ООО ХИМСНАБ,1072312011617,III,III,26.04.2017,25.04.2027,Действует,0
042-03-441-1,Адекват,adekvat,ВР,150 г/л Дикват (дибромид),десикант,ООО «ФОРВАРД»,1105476055277,III,III,26.01.2014,27.10.2024,Не действует,0
014-02-661-1,Адексар,adeksar,КЭ,"62,5 г/л флуксапироксад + 62,5 г/л эпоксиконазол",фунгицид,«БАСФ СЕ»,,III,III,12.05.2015,11.05.2025,Не действует,0
019-03-1022-1,Аденго,adengo,КС,225 г/л Изоксафлютол + 90 г/л тиенкарбазон-метил + 150 г/л антидот ципросульфамид,гербицид,Байер КропСайенс АГ,,II,III,11.03.2016,10.03.2026,Не действует,0
019-03-9871-0,Аденго,adengo,КС,225 г/л Изоксафлютол + 90 г/л тиенкарбазон-метил + 150 г/л антидот ципросульфамид,гербицид,Байер КропСайенс АГ,,II,III,27.03.2026,26.03.2029,Действует,0
032-01-1050-1,Адмирал,admiral,КЭ,100 г/л Пирипроксифен,инсектицид,Сумитомо Кемикал Агро Юроп С.А.С.,,III,III,29.03.2016,28.03.2026,Не действует,0
082-02-4056-1,Азоксит,azoksit,КС,200 г/л Азоксистробин + 160 г/л Тебуконазол,фунгицид,ООО «Интер Групп»,1084312000420,II,II,04.04.2023,26.12.2025,Действует,0
046-02-2680-1,Азорит,azorit,СК,200 г/л Азоксистробин + 80 г/л Ципроконазол,фунгицид,ЗАО «ТПК «Техноэкспорт»,1025005325070,III,III,28.11.2017,27.11.2027,Не действует,0
046-02-5069-1,Азорит,azorit,СК,200 г/л Азоксистробин + 80 г/л Ципроконазол,фунгицид,ООО «Техноэкспорт»,1125042005175,III,III,29.08.2025,27.11.2027,Действует,0
018-02-1859-1,Азорро,azorro,КС,300 г/л Карбендазим + 100 г/л Азоксистробин,фунгицид,АО «Щелково Агрохим»,1025006519427,II,III,09.04.2018,08.04.2028,Действует,0
699-02-9777-1,Азумакс,azumaks,ВДГ,800 г/кг Каптан,фунгицид,"«Шандонг Вейфанг Рейнбоу Кемикал Ко., Лтд.»",,III,III,23.01.2026,22.01.2036,Действует,0
004(549)-01-5003-1,Айвенго,ayvengo,КЭ,100 г/л Альфа-ципермeтрин,инсектицид,"ООО НПО «РАХ», ООО «АгроХимИнвест»","1037706005050, 5137746013400",III,I,01.10.2020,30.09.2030,Действует,0
178-03-1073-1,Айкон,aykon,КЭ,"550 г/л 2,4-Д (малолетучие эфиры С7-С9)",гербицид,ООО «Агро Эксперт Груп»,1027708006996,II,III,12.04.2016,11.04.2026,Не действует,0
178-03-9765-0,Айкон,aykon,КЭ,"550 г/л 2,4-Д кислоты (малолетучие эфиры С7-С9)",гербицид,"ООО ""АГРО ЭКСПЕРТ ГРУП""",1027708006996,II,III,19.01.2026,18.01.2029,Действует,0
699-03-4759-1,Аймокс,aymoks,ВРГ,750 г/кг Клопиралид,гербицид,"«Шандонг Вейфанг Рейбоу Кемикал Ко., Лтд.",,II,III,23.12.2024,22.12.2034,Действует,0
029-02-2721-1,Аканто Плюс,akanto-plyus,КС,200 г/л Пикоксистробин + 80 г/л Ципроконазол,фунгицид,ООО «Дюпон Наука и Технологии»,,III,III,02.07.2020,01.07.2030,Действует,0
866-02-4773-0,Аканто Плюс КА,akanto-plyus-ka,КС,200 г/л Пикоксистробин + г/л Ципроконазол,фунгицид,ООО Кортева Агрисаенс Рус,1106195008787,III,III,10.01.2025,09.01.2028,Действует,0
389-01-1441-1,Акарб,akarb,ВДГ,250 г/кг Феноксикарб,инсектицид,ООО «АГРОПРОГРЕСС КЭМИКАЛС»,1157847140296,III,III,06.04.2017,05.04.2027,Действует,0
018-01-2796-1,Акардо,akardo,ККР,250 г/л Спиродиклофен,инсектицид,АО «Щелково Агрохим»,1025006519427,III,III,14.09.2020,13.09.2030,Действует,1
130-03-3276-1,Акбарс,akbars,КЭ,100 г/л феноксапроп-П-этил + 27 г/л антидот -клоквинтосет-мексил,гербицид,ООО «Резерв»,1082224012738,III,III,30.08.2021,29.08.2031,Действует,0
586-03-3478-1,Акебоно,akebono,КЭ,825 г/л С-Метолахлор + 75 г/л кломазон,гербицид,Глобакем НВ,,II,III,17.01.2022,21.04.2026,Действует,0
866-03-10098-0,Акелло,akello,КС,600 г/л Аклонифен,гербицид,"ООО ""ПРИОРИТЕТ ГРУПП""",1152312010740,III,III,25.08.2026,24.08.2029,Действует,0
050-03-3275-1,Акзифор,akzifor,КЭ,240 г/л Оксифлуорфен,гербицид,ЗАО «ФМРус»,1097746208207,III,III,26.08.2021,25.08.2031,Действует,0
178-01-3990-1,Акиба,akiba,ВСК,500 г/л Имидаклоприд,инсектицид,ООО «Агро Эксперт Груп»,1027708006996,III,-,27.02.2023,26.02.2033,Действует,0
082-01-2856-1,Аккорд,akkord,КЭ,100 г/л Альфа-ципермeтрин,инсектицид,ООО «Интер Групп»,1084312000420,III,I,10.11.2020,09.11.2030,Действует,1
058-03-848-1,Аккурат,akkurat,ВДГ,600 г/кг Метсульфурон-метил,гербицид,«КЕМИНОВА А/С»,,III,III,30.10.2015,29.10.2025,Не действует,0
334-03-2557-1,Акрис,akris,СЭ,250 г/л тербутилазин + 280 г/л Диметенамид-Р,гербицид,БАСФ Корпорэйшн,,III,III,05.03.2020,04.03.2030,Действует,0
015-02-2310-1,Акробат МЦ,akrobat-mts,ВДГ,600 г/кг Манкоцеб + 90 г/кг Диметоморф,фунгицид,БАСФ Агро Б.В.,,II,III,10.07.2019,09.07.2029,Действует,0
097-03-3100-1,Аксакал,aksakal,КЭ,"11,25 г/л антидот -клоквинтосет-мексил + 45 г/л Пиноксаден",гербицид,ООО «АГРус»,5087746677893,III,III,09.04.2021,08.04.2031,Действует,0
002-03-4330-0,Аксакал Плюс,aksakal-plyus,КЭ,"50 г/л Пиноксаден + 6,25 г/л флорасулам + 12,5 г/л антидот клоквинтосет-мексил",гербицид,ООО «АГРУСХИМ»,1057747562509,III,III,21.12.2023,20.12.2026,Действует,0
002-03-4340-0,Аксакал Практик,aksakal-praktik,КЭ,50 г/л Пиноксаден + 50 г/л феноксапроп-П-этил + 25 г/л антидот – клоквинтосет-мексил,гербицид,ООО «АГРУСХИМ»,1057747562509,II,III,28.12.2023,27.12.2026,Действует,0
177-08-3527-1,Аксела,aksela,Г,30 г/кг Метальдегид,моллюскоцид,Арксада Лтд,,III,-,15.12.2016,14.12.2026,Действует,0
041-03-2074-1,Аксиал 50,aksial-50,КЭ,"50 г/л Пиноксаден + 12,5 г/л антидот -клоквинтосет-мексил",гербицид,ООО «Сингента»,1037739325271,III,III,29.01.2019,28.01.2029,Действует,0
041-03-3495-1,Аксиал Кросс,aksial-kross,КЭ,"45 г/л Пиноксаден + 11,25 г/л клоквинтосет-мексил + 5 г/л флорасулам",гербицид,ООО «Сингента»,1037739325271,III,III,10.02.2022,09.02.2032,Действует,0
278-02-4115-1,Аксиома,aksioma,КС,500 г/л Карбендазим,фунгицид,ООО ЭЛЛИПСАГРО,1142308002495,II,III,05.11.2019,04.11.2029,Действует,0
041-01-4386-0,Актара,aktara,ВДГ,250 г/кг Тиаметоксам,инсектицид,ООО «Сингента»,1037739325271,III,I,26.01.2024,25.01.2027,Действует,1
041-01-4549-1,Актеллик,aktellik,КЭ,500 г/л Пиримифос-метил,инсектицид,ООО «Сингента»,1037739325271,II,I,02.05.2024,01.05.2034,Действует,0
042(275)-03-823-1,Актеон,akteon,ВР,267 г/л Клопиралид + 67 г/л пиклорам,гербицид,"ООО «ФОРВАРД», ООО «АГРОДИМ»","1105476055277, 1136449005351",III,III,28.10.2015,27.10.2025,Не действует,0
018-03-4688-1,Актион,aktion,КС,500 г/л этофумезат,гербицид,АО «Щелково Агрохим»,1025006519427,III,III,04.10.2024,03.10.2034,Действует,0
010(038)-03-4072-0,Актуаль,aktual,ВР,480 г/л Глифосат кислоты (изопропиламинная соль),гербицид,"ООО «ЛИСТЕРРА», ООО «АГРОКОМ»","1057749556930, 1077758212685",III,III,24.04.2023,23.04.2026,Не действует,0
038-03-9877-0,Актуаль,aktual,ВР,480 г/л Глифосата кислота (изопропиламинная соль),гербицид,ООО «АГРОКОМ»,1077758212685,II,III,27.03.2026,26.03.2029,Действует,0
010-03-2639-1,Акцент,aktsent,КЭ,150 г/л Клетодим + 75 г/л галоксифоп-Р-метил,гербицид,ООО «ЛИСТЕРРА»,1057749556930,III,III,03.04.2020,02.04.2030,Действует,0
050-03-4293-0,Алгоритм,algoritm,КЭ,480 г/л кломазон,гербицид,ЗАО «ФМРус»,1097746208207,III,III,11.12.2023,10.12.2026,Действует,0
197-03-4271-0,Алебарда,alebarda,КЭ,23 г/л Пиноксаден + 23 г/л феноксапроп-П-этил + 6 г/л антидот – клоквинтосет-мексил,гербицид,ООО «Агрохим ХХ1»,5067746338150,II,III,01.12.2023,30.11.2026,Действует,0
015-02-723-1,Алиос,alios,КС,300 г/л тритиконазол,фунгицид,БАСФ Агро Б.В.,,III,-,29.07.2015,28.07.2025,Не действует,0
021-01-4205-1,Алиот,aliot,КЭ,570 г/л Малатион,инсектицид,АО Фирма «Август»,1025006038958,II,I,20.09.2023,19.09.2033,Действует,0
139-02-2116-1,Алирин-Б,alirin-b,СП,"10¹¹ КОЕ/г Bacillussubtilis, штамм В-10 ВИЗР",фунгицид,ООО Управляющая компания «АБТ-групп»,,IV,III,04.03.2019,03.03.2029,Действует,0
139-02-2348-1,Алирин-Б,alirin-b,ТАБ,"10⁹ КОЕ/г Bacillussubtilis, штамм В-10 ВИЗР",фунгицид,ООО Управляющая компания «АБТ-групп»,,IV,III,15.08.2019,14.08.2029,Действует,1
139-02-3307-1,Алирин-Б,alirin-b,Ж,"10⁹ КОЕ/Мл Bacillussubtilis, штамм В-10 ВИЗР",фунгицид,ООО Управляющая компания «АБТ-групп»,,IV,III,21.09.2021,20.09.2031,Действует,0
019-03-4052-1,Алистер Гранд,alister-grand,МД,"6 г/кг мезосульфурон-метил + 4,5 г/кг йодосульфурон-метил-натрий + 180 г/кг Дифлюфеникан + 27 г/кг антидот мефенпир-диэтил",гербицид,Байер КропСайенс АГ,,III,III,29.03.2023,28.03.2033,Действует,0
178-03-2209-1,Аллерт,allert,СТС,750 г/кг тифенсульфурон-метил,гербицид,ООО «Агро Эксперт Груп»,1027708006996,III,III,26.04.2019,25.04.2029,Действует,0
178-03-9676-1,Аллерт Флюид,allert-flyuid,МД,150 г/л тифенсульфурон-метил,гербицид,"ООО ""АГРО ЭКСПЕРТ ГРУП""",1027708006996,III,III,17.11.2025,16.11.2035,Действует,0
021-03-2825-1,Алсион,alsion,ВДГ,750 г/кг тифенсульфурон-метил,гербицид,АО Фирма «Август»,1025006038958,III,III,08.10.2020,07.10.2030,Действует,0
130-01-3479-1,АлтАльф,altalf,КЭ,100 г/л Альфа-ципермeтрин,инсектицид,ООО «Резерв»,1082224012738,III,I,19.01.2022,18.01.2032,Действует,0
130-02-3286-1,АлтСил,altsil,КС,60 г/л Тебуконазол,фунгицид,ООО «Резерв»,1082224012738,II,-,06.09.2021,05.09.2031,Действует,0
130-01-3344-1,Алтын,altyn,КЭ,50 г/л лямбда-цигалотрин,инсектицид,ООО «Резерв»,1082224012738,III,I,25.10.2021,24.10.2031,Действует,0
424-01-4618-1,Алфос,alfos,ТАБ,560 г/кг Алюминия фосфид,инсектицид,ООО «ГРАНУМ»,1147746366261,I,-,18.06.2024,17.06.2034,Действует,0
699-03-4760-1,Алхимик,alhimik,КЭ,140 г/л феноксапроп-П-этил + 90 г/л Клодинафоп-пропаргил + 60 г/л антидот -клоквинтосет-мексил,гербицид,"«Шандонг Вейфанг Рейбоу Кемикал Ко., Лтд.",,II,III,23.12.2024,22.12.2034,Действует,0
081-02-2950-1,Альбит,albit,ТПС,"181,5 г/кг карбамид + 6,2 г/кг Поли-бета-гидроксимасляная кислота + 29,8 г/кг магний сернокислый + 91,1 г/кг калий фосфорнокислый + 91,2 г/кг калий азотнокислый",фунгицид,ООО «НПФ «Альбит»,1025007774285,IV,III,23.12.2020,22.12.2030,Действует,1
081-07-866-1,Альбит,albit,ТПС,"91,1 г/кг калий фосфорнокислый + 6,2 г/кг Поли-бета-гидроксимасляная кислота + 29,8 г/кг магний сернокислый + 91,2 г/кг калий азотнокислый + 181,5 г/кг карбамид",регулятор роста,ООО «НПФ «Альбит»,1025007774285,IV,III,26.11.2015,25.11.2025,Не действует,1
081-07-9800-1,Альбит,albit,ТПС,"6,2 г/кг Поли-бета-гидроксимасляная кислота + 29,8 г/кг магний сернокислый + 91,1 г/кг калий фосфорнокислый двузамещенный + 91,2 г/кг калий азотнокислый + 181,5 г/кг карбамид",регулятор роста,ООО НПФ «Альбит»,1025007774285,IV,III,04.03.2026,03.03.2036,Действует,1
002-02-3585-1,Алькасар,alkasar,КС,"30 г/л Дифеноконазол + 6,3 г/л Ципроконазол",фунгицид,ООО «АГРУСХИМ»,1057747562509,III,-,04.04.2022,03.04.2032,Действует,0
002-02-9976-0,Алькасар Макс,alkasar-maks,КС,90 г/л Дифеноконазол + 45 г/л Тебуконазол + 40 г/л Пираклостробин,фунгицид,"ООО ""АГРУСХИМ""",1057747562509,II,-,25.05.2026,24.05.2029,Действует,0
002-02-2427-1,Алькор,alkor,КС,400 г/л Ципроконазол,фунгицид,ООО «АГРУСХИМ»,1057747562509,III,III,15.10.2019,14.10.2029,Действует,0
549(347)-02-4262-1,Альпари,alpari,КЭ,250 г/л Пропиконазол + 80 г/л Ципроконазол,фунгицид,"ООО «АгроХимИнвест», ООО «АГРОИМПЭКС»","5137746013400, 1157746689484",III,III,23.11.2023,22.11.2033,Действует,0
046-02-4728-0,Альтазол,altazol,КЭ,250 г/л Пропиконазол + 80 г/л Ципроконазол,фунгицид,ЗАО «ТПК «Техноэкспорт»,1025005325070,III,III,26.11.2024,25.11.2027,Не действует,0
046-02-5046-0,Альтазол,altazol,КЭ,250 г/л Пропиконазол + 80 г/л Ципроконазол,фунгицид,ООО «Техноэкспорт»,1125042005175,III,III,29.08.2025,25.11.2027,Действует,0
046-02-4067-1,Альтазол Форте,altazol-forte,КЭ,200 г/л Тебуконазол + 300 г/л Пропиконазол,фунгицид,ЗАО «ТПК «Техноэкспорт»,1025005325070,II,III,24.04.2023,23.04.2033,Не действует,0
046-02-4997-1,Альтазол Форте,altazol-forte,КЭ,200 г/л Тебуконазол + 300 г/л Пропиконазол,фунгицид,ООО «Техноэкспорт»,1125042005175,II,III,29.08.2025,23.04.2033,Действует,0
010-01-2656-1,Альтаир,altair,КЭ,100 г/л Альфа-ципермeтрин,инсектицид,ООО «ЛИСТЕРРА»,1057749556930,II,I,21.04.2020,20.04.2030,Действует,0
192-01-2333-1,Альтерр,alterr,КЭ,100 г/л Альфа-ципермeтрин,инсектицид,ООО ГК «ЗемлякоФФ»,1037724060560,III,I,25.07.2019,24.07.2029,Действует,0
041-02-4736-1,Альто Супер,alto-super,КЭ,250 г/л Пропиконазол + 80 г/л Ципроконазол,фунгицид,ООО «Сингента»,1037739325271,III,III,27.11.2024,26.11.2034,Действует,0
041-02-495-1,Альто Супер,alto-super,КЭ,250 г/л Пропиконазол + 80 г/л Ципроконазол,фунгицид,ООО «Сингента»,1037739325271,III,III,29.12.2014,28.12.2024,Не действует,0
041-02-4414-0,Альто Турбо,alto-turbo,КЭ,250 г/л Пропиконазол + 160 г/л Ципроконазол,фунгицид,ООО «Сингента»,1037739325271,III,III,15.02.2024,14.02.2027,Действует,0
010(011)-02-1571-1,Альтруист,altruist,КЭ,60 г/л Азоксистробин + 100 г/л Тебуконазол,фунгицид,"ООО «ЛИСТЕРРА», ПАНАМА АГРОКЕМИКАЛС ИНК.",1057749556930,II,III,21.11.2016,20.11.2026,Действует,0
010-02-2741-1,Альтруист,altruist,СК,60 г/л Азоксистробин + 100 г/л Тебуконазол,фунгицид,ООО «ЛИСТЕРРА»,1057749556930,II,III,13.08.2020,12.08.2030,Действует,0
062-01-324-1,Альфа-Амиприд,alfa-amiprid,РП,200 г/кг Ацетамиприд,инсектицид,ООО «АЛЬФАХИМГРУПП»,,III,III,15.04.2014,14.04.2024,Не действует,0
062-03-846-1,Альфа-Гард,alfa-gard,ВДГ,750 г/кг тифенсульфурон-метил,гербицид,ООО «АЛЬФАХИМГРУПП»,,III,III,30.10.2015,29.10.2025,Не действует,0
062-01-657-1,Альфа-Директор,alfa-direktor,КЭ,400 г/л Диметоат,инсектицид,ООО «АЛЬФАХИМГРУПП»,,II,I,30.04.2015,29.04.2025,Не действует,0
062-03-560-1,Альфа-Прометрин,alfa-prometrin,КС,500 г/л Прометрин,гербицид,ООО «АЛЬФАХИМГРУПП»,,III,III,16.02.2015,15.02.2025,Не действует,0
062-01-349-1,Альфа-Серф,alfa-serf,ВК,200 г/л Имидаклоприд,инсектицид,ООО «АЛЬФАХИМГРУПП»,,III,I,16.05.2014,15.05.2024,Не действует,0
184(026)-01-2445-1,Альфа-Ципи,alfa-tsipi,КЭ,100 г/л Альфа-ципермeтрин,инсектицид,"Агрия АД, ООО «Агрорус и Ко»",,II,I,31.10.2019,30.10.2029,Действует,0
277-01-4903-0,Альфабел,alfabel,КЭ,100 г/л Альфа-ципермeтрин,инсектицид,ООО «БЕЛИН»,1127747077622,III,I,19.06.2025,18.06.2028,Действует,0
277-01-570-1,Альфабел,alfabel,КЭ,100 г/л Альфа-ципермeтрин,инсектицид,ООО «БЕЛИН»,1127747077622,II,I,25.02.2015,24.02.2025,Не действует,0
653-01-3756-1,Альфаметрин,alfametrin,КЭ,100 г/л Альфа-ципермeтрин,инсектицид,ООО «СЭЙФТИ ФИЛД КОРПОРЭЙШН»,1112310006104,III,I,15.07.2022,14.07.2032,Действует,0
322-01-4716-1,Альфаплан,alfaplan,КС,200 г/л Альфа-ципермeтрин,инсектицид,Ариста ЛайфСайенс Бенилюкс СПРЛ,,III,I,16.04.2015,15.04.2025,Не действует,0
